"DALMIA VIDYA MANDIR, CHIRAWA",,
Book and Notebook list Academic Year 2025-26,,
,,
CLASS - I,,
SUBJECT,NAME OF THE BOOK,PUBLISHER
ENGLISH,Mridang-1,NCERT
,Learner's English Grammar & Composition 1,S. Chand 
,Cursive Writing 1,Wings
EVS,Environmental studies 1,Viva Education
MATH,Joyful Mathematics 1,NCERT
Hindi,Sarangi 1,NCERT
,Vishesh Hindi Vyakaran thatha Rachna 1,AMANDA
,Sulekh Tara 1,Wings
Art & Craft,Exploring spread colours 1,Learn Well
,,
,,
NOTEBOOKS & STATIONARY LIST,,
Sl.No,Pages,Quantity
1,4 line notebook 120 pages,2
2,Single ruled 120 pages,1
3,Square Box Notebook 120 pages,1
4, Drawing Note book,1
,,
,,
,,
Sign of class teacher,Mentor                    Academic Coordinator,                         Principal
