"DALMIA VIDYA MANDIR, CHIRAWA",,
Book and Notebook list Academic Year 2025-26,,
,,
CLASS - II,,
SUBJECT,NAME OF THE BOOK,PUBLISHER
ENGLISH,Mridang-2,NCERT
,Learner's English Grammar & Composition 2,S. Chand 
,Cursive Writing 2,Wings
EVS,Environmental studies 2,Viva Education
MATH,Joyful Mathematics 2,NCERT
Hindi,Sarangi 2,NCERT
,Vishesh Hindi Vyakaran thatha Rachna 2,AMANDA
,Sulekh Tara 2,Wings
Art & Craft,Exploring spread colours 2,Learn Well
,,
,,
NOTEBOOKS & STATIONARY LIST,,
Sl.No,Pages,Quantity
1,4 line notebook 120 pages,2
2,Single ruled 120 pages,1
3,Square Box Notebook 120 pages,1
4, Drawing Note book,1
,,
,,
,,
Sign of class teacher,Mentor                    Academic Coordinator,                         Principal
