"DALMIA VIDYA MANDIR, CHIRAWA",,
Book and Notebook list of Academic Year 2025-2026,,
CLASS - III,,
SUBJECT,NAME OF THE BOOK,PUBLISHER
ENGLISH,SANTOOR ,NCERT
ENGLISH,Learner's English Grammar & Composition 3,S. Chand 
English,Cursive Writing 3,Wings
EVS,OUR WONDEROUS WORLD,NCERT
MATH,Math MELA ,NCERT
Hindi,VEENA,NCERT
Hindi ,Sulekh Tara ,Wings
Hindi Vyakaran,Vishesh Hindi Vyakaran  thatha Rachna 3,AMANDA
Computer,Step to Success Computer Book ,Purple leaf Pub. 
Art & Craft,Exploring Spread Colour,Learn Well 
Oral Sanskrit,Snskrit Dipiti Praveshika,Megha Mind Pvt. Ltd.
,,
,,
NOTEBOOKS & STATIONARY LIST,,
Sl.No,Pages,Quantity
1,Single ruled 120 pages,2
2,single ruled 172 pages,2
3,Plain Drawing Note book,1
,,
,,
Sign of class teacher,Mentor                    Academic Coordinator,                         Principal
