"DALMIA VIDYA MANDIR, CHIRAWA",,
Book and Notebook list of Academic Year 2025-2026,,
CLASS - IV,,
SUBJECT,NAME OF THE BOOK,PUBLISHER
ENGLISH,Marigold -4,NCERT
ENGLISH,Learner's English Grammar & Composition 4,S. Chand 
English,Cursive Writing 4,Wings
EVS,Looking Around - 4,NCERT
MATH,Math Magic -4,NCERT
Hindi,Rimjhim -4,NCERT
Hindi ,Sulekh Tara ,Wings
Hindi Vyakaran,Vishesh Hindi Vyakaran  thatha Rachna 4,AMANDA
Computer,Step to Success Computer Book ,Purple leaf Pub. 
Art & Craft,Exploring Spread Colour,Learn Well 
Oral Sanskrit,Sanskrit Dipiti Part 1,Megha Mind Pvt. Ltd. 
NOTEBOOKS & STATIONARY LIST,,
Sl.No,Pages,Quantity
1,120 Pages,2
2,172 Pages,2
3,Plain Note book,1
,,
,,
,,
Sign of class teacher,Mentor                    Academic Coordinator,                         Principal
