"DALMIA VIDYA MANDIR, CHIRAWA",,
Book and Notebook list Academic Year 2025-26,,
CLASS - IX,,
SUBJECT,NAME OF THE BOOK,PUBLISHER
English,Beehives,NCERT
English,Moments,NCERT
Hindi,kshitij part 1,NCERT
Hindi,kritika  part 1,NCERT
Hindi Vyakaran ,Vyakarana Parvah,Language House
Sanskrit,Semushi,NCERT
Sanskrit,Abhyasavaan Bhav,NCERT
Science,Science,NCERT
Mathematics,Mathematics,NCERT
Social Science,India & Contemorary World,NCERT
Social Science,Contemporary World Geogrephy,NCERT
Social Science,Economics IX,NCERT
Social Science,Democratic Politics,NCERT
AI,Artificial Intelligence IX,Avratan Pub. 
Science Lab Manual,Lab Manual,Iconic 
,,
Sign of class teacher,Mentor                    Academic Coordinator,                         Principal
,,
,,
,,
NOTEBOOKS & STATIONARY LIST,,
Sl.No,Pages,Quantity
1,120 pages,4
2,172 pages,4
3 Long Note Book,172 pages,5
