"DALMIA VIDYA MANDIR, CHIRAWA",,
Book and Notebook list of Academic Year 2025-2026,,
CLASS - V,,
SUBJECT,NAME OF THE BOOK,PUBLISHER
ENGLISH,Marigold -5,NCERT
ENGLISH,Learner's English Grammar & Composition 5,S. Chand 
English,Cursive Writing 5,Wings
EVS,Looking Around - 5,NCERT
Math,Math Magic -5,NCERT
Hindi,Rimjhim -5,NCERT
Hindi ,Sulekh Tara ,Wings
Hindi Vyakaran,Vishesh Hindi Vyakaran  thatha Rachna 5,AMANDA
Computer,Step to Success Computer Book ,Purple leaf Pub. 
Art & Craft,Exploring Spread Colour,Learn Well 
Oral Sanskrit,Sanskrut Dipiti Part 2,Megha Mind Pvt. Ltd. 
,,
,,
,,
NOTEBOOKS & STATIONARY LIST,,
Sl.No,Pages,Quantity
1,120 Pages,2
2,172 Pages,2
3,Plain Drawing Book,1
,,
,,
Sign of class teacher,Mentor                    Academic Coordinator,                         Principal
