"DALMIA VIDYA MANDIR, CHIRAWA",,
Book and Notebook list of Academic Year 2025-2026,,
CLASS - VI,,
SUBJECT,NAME OF THE BOOK,PUBLISHER
English,POORVI,NCERT
English Grammar,Learner's English Grammar & Composition 6,S. Chand 
Mathematics,GANIT PRAKASH,NCERT
Hindi,MALHAR,NCERT
Hindi Grammar,Nav Tarang 6,Rohan Books
Science,CURIOSITY,NCERT
Social Science,EXPLORING SOCIETY & INDIA BEYOND,NCERT
Sanskrit,DEEPAKAM,NCERT
Computer,Step to Success Computer Book ,Purple leaf Pub. 
Art & Craft,Exploring Spread Colours,Learnwell Publication
,,
,,
NOTEBOOKS & STATIONARY LIST,,
Sl.No,Pages,Quantity
1,120 Pages,2
2,172 Pages,2
3,Plain Drawing Book,1
,,
,,
Sign of class teacher,Mentor                    Academic Coordinator,                         Principal
