"DALMIA VIDYA MANDIR, CHIRAWA",,
Book and Notebook list of Academic Year 2025-2026,,
CLASS - VII,,
SUBJECT,NAME OF THE BOOK,PUBLISHER
English,Honeycomb VII ,NCERT
English,An Alien Hand VII,NCERT
English,Learner's English Grammar & Composition 7,S. Chand 
Mathematics,Mathematics ,NCERT
Hindi,Vasant 2,NCERT
Hindi Grammar,Nav Tarang 7,Rohan Books
Science,Science 7,NCERT
Social Science,Our Past 2,NCERT
Social Science,Our Environment 7,NCERT
Social Science,Social & Political Life 2,NCERT
Sanskrit,Ruchira 2,NCERT
Computer,Step to Success Computer Book ,Purple leaf Pub. 
Art & Craft ,Exploring Spread Colours,Learnwell Publication
NOTEBOOKS & STATIONARY LIST,,
Sl.No,Pages,Quantity
1,120 Pages,2
2,172 pages,2
3,Plain Drawing Note Book,1
,,
,,
Sign of class teacher,Mentor                    Academic Coordinator,                         Principal
