"DALMIA VIDYA MANDIR, CHIRAWA",,
Book and Notebook list Academic Year 2025-26,,
CLASS - VIII,,
SUBJECT,NAME OF THE BOOK,PUBLISHER
English,Honeydew,NCERT
English,It So Happened,NCERT
English,Learner's English Grammar & Composition 8,S. Chand 
Mathematics,Mathematics,NCERT
Hindi,Vasant 3,NCERT
Hindi,Nava Tarang 8,Rohan Books
Science ,Science 8,NCERT
Social Science,Our Past III part ,NCERT
Social Science,Resource & Development,NCERT
Social Science,Social & Political Life 8,NCERT
Sanskrit,Ruchira 3,NCERT
Computer,Step to Success Computer Book ,Purpale leaf Pub. 
Art & Craft ,Exploring Spread Colours,Learnwell Publication
,,
NOTEBOOKS & STATIONARY LIST,,
Sl.No,Pages,Quantity
1,120 Pages,5
2,172 Pages,3
3,Plain Drawing Note Book,1
,,
,,
Sign of class teacher,Mentor                    Academic Coordinator,                         Principal
