"DALMIA VIDYA MANDIR, CHIRAWA",,
Book and Notebook list Academic Year 2025-2026,,
CLASS - X,,
SUBJECT,NAME OF THE BOOK,PUBLISHER
English,First Flight,NCERT
English,Foot Prints without Feet,NCERT
Sanskrit,Seemusee X,NCERT
Hindi,kshitij Part 2,NCERT
Hindi,kritika Part 2,NCERT
Hindi Vyakaran ,Vyakarana Parvah,Language House
Mathematics,Mathematics X,NCERT
Science,Science X,NCERT
Science Lab Manual,Lab Manual,Iconic 
Social Science,India & Contemporary World II,NCERT
Social Science,Contemporary India Geography,NCERT
Social Science,Understanding Economic Development,NCERT
Social Science,Democratic Politics II,NCERT
AI,Artificial Intelligence IX,Avratan Pub. 
,,
,,
,,
,,
NOTEBOOKS & STATIONARY LIST,,
Sl.No,Pages,Quantity
1,120 Pages,4
2,172 Pages,4
3 Long Note Book,172 Pages,5
Lab Manual,Science Lab Manual,NCERT
Subject Enrichment,Activity Plus in Mathematics X,Full Marks
,,
,,
Sign of class teacher,Mentor                    Academic Coordinator,                         Principal
