"DALMIA VIDYA MANDIR, CHIRAWA",,
Book and Notebook list Academic Year 2025-2026,,
,,
CLASS XI COMMERCE,,
SUBJECT,NAME OF THE BOOK,PUBLISHER
English,Hornbill,NCERT
English,Snapshot,NCERT
Mathematics,Mathematics,NCERT
Economics,Intro Micro Economics by Dr. Anoop Ku. Ataria,Genius Publication
Economics,Statistics by Dr. Anoop Ku. Ataria,Genius Publication
Accountancy,Accountancy Part 1 & 2,NCERT
Accountancy,APC Books,D K Goel
Business Studies,Business Studies,NCERT/VK
Physical Education,Text Book & Lab Manual Health & Physical Ed.,Saraswati Publications
Entrepreneurship, VK Entrepreneurship,V K Publication
Informatics practices,informatics practices by Sumita Arora,Dhanpat Rai & Co
,,
,,
,,
,,
NOTEBOOKS & STATIONARY LIST,,
Sl.No,Pages,Quantity
1.Long Note Books,172 pages,8
,,
,,
Sign of class teacher,Mentor                    Academic Coordinator,                         Principal
