"DALMIA VIDYA MANDIR, CHIRAWA",,
Book and Notebook list Academic Year 2025-2026,,
,,
,,
CLASS - XI HUMANITIES,,
SUBJECT,NAME OF THE BOOK,PUBLISHER
English,Hornbill,NCERT
English,Snapshot,NCERT
Economics,Intro Micro Economics by Dr. Anoop Ku. Ataria,Genius Publication
Economics,Statistics by Dr. Anoop Ku. Ataria,Genius Publication
Physical Education,Health & Physical Education Text & Manual,Saraswati Publications
informatics practices,informatics practices by Sumita Arora,Dhanpat Rai/NCERT/VK
History,Themes in World History XI,NCERT
Political Science,Indian Constitution at work XI,NCERT
Political Science,Political Theory XI,NCERT
TOTAL,,
,,
NOTEBOOKS & STATIONARY LIST,,
Sl.No,Pages,Quantity
Long Note Books,172 pages,8
,,
,,
Sign of class teacher,Mentor                    Academic Coordinator,                         Principal
