"DALMIA VIDYA MANDIR, CHIRAWA",,
Book and Notebook list Academic Year 2025-2026,,
,,
Class XI Science,,
SUBJECT,NAME OF THE BOOK,PUBLISHER
English,Hornbill,NCERT
English,Snapshot,NCERT
Physics,Physics Part 1 & 2,NCERT
Physics,Comprehensive Lab Manual,Rachana Sagar
Chemistry,Chemistry Part 1 & Part 2,NCERT
Chemistry,Lab Manual Chemistry,Rachana Sagar
Mathematics,Mathematics,NCERT
Physical Education,Health & Physical Education Book  & Lab Manual,Saraswati Publications
informatics practices,informatics practices by Sumita Arora,Dhanpat Rai & Co.
Biology,Biology,NCERT
Biology,Comprehensive Biology Lab Manual,Laxmi Publication
,,
,,
NOTEBOOKS & STATIONARY LIST,,
Sl.No,Pages,Quantity
Long Note Books,172 Pages ,8
,,
,,
Sign of class teacher,Mentor                    Academic Coordinator,                         Principal
