"DALMIA VIDYA MANDIR, CHIRAWA",,
Book and Notebook list Academic Year 2025-2026,,
,,
,,
CLASS - XII COMMERCE,,
SUBJECT,NAME OF THE BOOK,PUBLISHER
English,Flamingo,NCERT
English,Vista,NCERT
Mathematics,Mathematics XII /Applied,NCERT
Economics,Intro Micro Economics by Dr. Anoop Ku. Ataria,Genius Publication
Economics,Statistics by Dr. Anoop Ku. Ataria,Genius Publication
Accountancy,Accountancy Part 1 & 2 XII,NCERT
Accountancy,APC Books,DK Goel
Business Studies,Business Studies XII,NCERT/VK
Physical Education, Book & Lab Manual Health & Physical Ed.,Saraswati
informatics practices,informatics practice by Sumita Arora  XII,Dhanpat Rai & Co
,,
,,
,,
NOTEBOOKS & STATIONARY LIST,,
Sl.No,Pages,Quantity
1.Long Note Books,172 pages,8
,,
,,
Sign of class teacher,Mentor                    Academic Coordinator,                         Principal
