"DALMIA VIDYA MANDIR, CHIRAWA",,
Book and Notebook list Academic Year 2025-2026,,
,,
,,
CLASS - XII SCIENCE,,
SUBJECT,NAME OF THE BOOK,PUBLISHER
English,Flamingo,NCERT
English,Vistas,NCERT
Mathematics,Mathematics Part 1 &2,NCERT
Physics,Physics Part 1 & 2,NCERT
Physics,Comprehensive Lab Manual,Rachana Sagar
Chemistry,Chemistry Part 1 & 2,NCERT
Chemistry,Chemistry Lab Manual,Rachana Sagar
informatics practices,informatics practices  by Sumita Arora,Dhanpat Rai
Physical Education,Health & Physical Education Text & Manual,Saraswati
Biology,Biology,NCERT
Biology,Comprehensive Biology Lab Manual,Laxmi Pub.
TOTAL,,
,,
NOTEBOOKS & STATIONARY LIST,,
Sl.No,Pages,Quantity
Long Note BOOK,172 pages,8
,,
,,
Sign of class teacher,Mentor                    Academic Coordinator,                         Principal
