"DALMIA VIDYA MANDIR, CHIRAWA",,
,CLASS NURSERY,
Book and Notebook list of Academic Year 2025-2026,,
SUBJECT,NAME OF THE BOOK,PUBLISHER
"English, Math, EVS, Hindi, Art",LEARN WELL STEP-1,Learn well India Pvt Ltd
NOTEBOOKS & STATIONARY LIST,,
S.No,Pages,Quantity
English,4 lines note book 120 pages,1
Hindi ,Single line note book 120 pages,1
Math,Square (24 boxes) 120 pages,1
,,
,,
Sign of class teacher,Mentor                    Academic Coordinator,                         Principal
,,
,,
,,
,,
,,
,,
,\,
