DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS V ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HINDI,,,MATHEMATICS,,,EVS,,,SANSKRIT,,,COMPUTER ,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes
"APRIL-2025
(21 DAYS)",1,Ch- 1 Ice-cream Man,Exploring the ice cream man's traits and action,"they will be able to learn theme such as Joy, childhood or community ","पाठ 1 भाषा, लिपि और व्याकरण ",परिभाषा व भेद के नाम उदाहरण सहित,भाषा लिपि एवं व्याकरण की परिभाषाओं को समझने में सक्षम होंगे,Bridge course,Do Number system upto Crore and their place value ,students will able to revise their previous knowledge,Ch-1 Super Senses ,Reading with explanation and discussion,students will learn about different senses of animals and humans.,१.प्रथम: पाठ :        प्रभात वेला,भावार्थ ,प्रातः कालस्य ज्ञानम्,Ch 1 Computer basics,Lab Activity - WordPad,Students will able to tell definition of computer
,2,Ch-2 Wonderful Waste. Poem-1 Bamboo Curry,"Writing a story or poem about reducing, reusing or recycling ","they will be able to learn the importance of reducing, reusing or recycling ", पाठ-1 राख  की रस्सी,कहानी पर चर्चा,नैतिक मूल्यों की समझ,Bridge course,Do 5 -6 digit multiplication ,students will able to revise their previous knowledge,Ch 1 Super Senses ,explanation with smart panel and text book ,students will learn how animals use their senses and importance of senses in their life.,२.द्वितीय: पाठ :      मति: एवं बलात् गरीयसी ,कहानी लेखनं,नैतिक मूल्यों से परिचित कराना ,Ch 1 Computer basics,Lab Activity - WordPad,Students will able to tell uses of computer
,3,"Poem-2 Teamwork, Poem-3 Flying together ",Demonstrating teamwork and cooperation through scenarios,they will be able to learn the importance of collaboration and cooperation ,पाठ - 2  फसलों के त्योहार,फसलों के महत्व पर चर्चा,विभिन्न फसलों की समझ,Ch 1 The Fish Tales,"Larger number concept, International place value system ",student will be able to know the concept of millions ,Ch-2 A Snake Charmer's Story,"reading and introduction about snake charmers ,kalbeliyas ,sapera's and their life",students will able to understand the cultural and traditional life of kalbeliyas,३. तृतीय: पाठ :             सुवचनानि,श्लोक लेखनं ,नीतिपरक कार्य करने के लिए प्रेरित करना,Ch 1 Computer basics,Lab Activity - WordPad,Students will able to tell types of computer
,4,Grammar Ch-1 Sentences,Practice exercises for sentence identification ,They will be able to construct grammatically correct sentences, पाठ 2 वर्ण और वर्णमाला ,परिभाषा एवं भेद उदाहरण सहित,वर्णमाला का ज्ञान,Ch 1 The Fish Tales ,"Larger number multiplication, rounding off figure ","Approximation, Rounding off upto 10s 100s 1000s figure ",Ch-2 A Snake Charmer's Story ,"visual aids, explanation and reading ",students will learn to able the deep connection between animals and humans ,श्रीमद्भगवतगीता श्लोका :,सस्वर वाचन व भावार्थ,आध्यात्मिक ज्ञान प्राप्ति ,Ch 1 Computer basics,Lab Activity - WordPad,Students will able to tell limitations of computers
,5,Grammar Ch-2 Questions and Question Tags,Creating questions using different question words,they will be able to learn question formation using different question words, पाठ 3  शब्द- संरचना,शब्द निर्माण कार्य, शब्द संरचना के द्वारा शब्द निर्माण क्षमता का विकास,Ch 2 Shapes and Angles ,"Creating Shapes with matchstick, using angle tester ",Student will be ble to know Types of angle ,Ch- 3  From Tasting to Digesting ,"Introduce children about our senses and their correlation each other.Visual aids, interactive and real connection ",students will be able to locate the different taste zones on tongue.They will understand the importance of chewing well.,पर्याया: एवं विपर्याया:,चार्ट बनाना ,व्याकरण ज्ञान ,Ch 1 Computer history,Lab Activity - WordPad,Students will able to tell characteristics of computers
"MAY -2025 
(15 DAYS)",1,"Ch-3 My Shadow, Poem-4 Robinson Cusoe Discovers a Footprint",Writing a poem or story about shadows or personal experience ,they will be able to learn the relationship between the speaker and their shadow,"पाठ 3, खिलौनेवाला",खिलौनों के महत्व पर चर्चा,सहयोगात्मक भावना का विकास,Ch 2 Shapes and Angles ,"Identifying angle around real life object like bridge, angle btw  two walls ","Student will be able to know Different types of shapes, their vertices, edges, corner ",Ch-3 From Tasting to Digesting ,reading and explanation about digestion from text book and smart panel. Introduce them about balance diet.,"students will learn about the role of different organs in digestion such as mouth ,food pipe, intestine. students will learn about the connection between food and energy",घाटिका ज्ञान ,चार्ट बनाना ,"समय -ज्ञानं संस्कृत में सपाद , सार्ध ,पादोन व पूर्ण समय का ज्ञान ",Ch2  Computer software,Lab Activity - WordPad,Students will able to tell software and its examples
,2,Grammar Ch-3 Subject and Predicate ,Practice exercises for subject and predicate matching ,They will be able to define and identify the subject and predicate in the sentences ," पाठ 4, नन्हा फनकार ",कला और संस्कृति की समझ, वास्तु कला का ज्ञान प्राप्त होना,Ch 2 Shapes and Angles ,"Identifying angle in slides , angle made between needles of clock etc","Student will be able to calculate half of right angle,1/3 , 1/4 etc","Ch-4 Mangoes Round The Year :,      Ch4  - Mangoes Round The Year ","reading and explanation with text book, real life examples, visual aids. experiment with students in class",students will be able to identify perishable and non perishable food. They will learn about the growth of microorganisms that cause food spoilage.Students will learn about preservation methods of food.,"श्रीमद् भगवत गीता श्लोका:, ४. चतुर्थ: पाठ : गणतंत्र दिवस ",अनुच्छेद लेखनं ,"देश के संविधान, स्वतंत्रता सेनानियों के बारे में ज्ञान प्राप्त होना ",Ch2  Computer software,Lab Activity - WordPad,Students will able to tell types of softwares
