DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS VI ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HINDI,,,MATHEMATICS,,,SCIENCE,,,SOCIAL SCIENCE,,,SANSKRIT,,,COMPUTER ,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes
"APRIL-2025
(21 DAYS)",1,Ch-1 A Bottle of Dew ,Role play of characters ,They will learn about the importance of hardwork ,मातृभूमि (कविता),कविता लेखन ,मातृभूमि के लिए प्रेम भावना का विकास ,Ch 1 Pattern in mathematics ,With the help of Pictorial Representation ,"They will learn to represent patterns using pictures, diagrams, or other visual aids to aid understanding. ",Ch 1 The wonderful world of science,"Explanation, discussion, videos and showing images, group activity, real life examples",Students will get to know about science and its importance,Timeline and Sources of History ,MAP MAKING AND FILLING/PUZZLE,They will be able to understand and tell about Timelines and Sources of history ,१.     प्रथम पाठ:       वयं वर्णमाला पठाम:,समूहे पाठनाभ्यास:,स्वरसमवेत वाचनं पाठार्थ पठनं अभ्यास करणं च।,Ch 1 computer network,Lab Activity - MS PowerPoint 2016,Students will able to tell definition of computer and components of computer
,2,Ch-2 The Raven and the Fox,Discussing the moral lessons from the story,They will learn about the importance of humility and honesty ,गोल (संस्मरण),अनुच्छेद लेखन ,लेखन कला का विकास ,Ch 1 Pattern in mathematics,Activities could include creating and identifying patterns in numbers and shapes,"Students will learn to represent patterns in different ways, such as using words, symbols, or diagrams",Ch 1 The wonderful world of science,"Explanation, discussion, videos and showing images, group activity, real life examples",Students will get to know about science and its importance,Timeline and Sources of History ,GROUP DISCUSSION/FLOW CHART/CROSSWORD PUZZLE,They will be able to understand and tell about Timelines and Sources of history ,२.     द्वितीय पाठ:     एष:क ? एषा का ? एतत् किम्?,कक्षाभ्यास:,२.       एष:क ? एषा का ? एतत् किम्?विषये ज्ञास्यंतीति,Ch 1 computer network,Lab Activity - MS PowerPoint 2016,Students will able to know computer languages
,3,Grammar Ch-1 Sentences ,Practice exercises for sentence identification ,They will be able to construct grammatically correct sentences,संवाद लेखन  ,संवाद लेखनाभ्यास ,व्याकरण ज्ञान ,Ch 1 Pattern in mathematics,Ask students to extend the sequence and predict the next few numbers. ,"Identifying patterns in nature, such as the arrangement of leaves on a stem or the spiral of a seashell. ",Ch 1 The wonderful world of science,"Explanation, discussion, videos and showing images, group activity, real life examples",Students will get to know about science and its importance,Timeline and Sources of History ,GROUP DISCUSSION/FLOW CHART/CROSSWORD PUZZLE,They will be able to understand and tell about Timelines and Sources of history ,शब्दार्था :,कक्षाभ्यास:,शुद्ध अशुद्ध- विषये ज्ञास्यंतीति,Ch 1 computer network,Lab Activity - MS PowerPoint 2016,Students will able to know classification of computer
,4,Grammar Ch-2 Subject and Predicate,Practice exercises for subject and predicate matching ,They will be able to define and identify the subject and predicate in the sentences ,कहानी लेखन,कहानी लेखनाभ्यास ,व्याकरण ज्ञान ,Ch 1 Pattern in mathematics,Extra questions based on above topic.,"include sequences like counting numbers (1, 2, 3...), odd numbers (1, 3, 5...), and squares (1, 4, 9...).",Ch 2 Diversity in living organism,"Explanation, discussion, videos and showing images, group activity, real life examples",Students will get to know about different plants and animals,Locating places on the Earth ,NEWSPAPER READING AND DIARY ENTRY ON/GROUP DISCUSSION,"They will be able to understand and tell about globe, latitudes and longitudes ","गीता श्लोका:, शब्द रूपाणि, बालिका, राम",मौखिकभ्यास:,आध्यात्मिक ज्ञान प्राप्ति ,Ch 1 computer network,Lab Activity - MS PowerPoint 2016,Students will able to know memory of computers
,5,Grammar -Ch-3 Kinds of Nouns,Practice exercises for classification of nouns,They will be able to learn  characteristic of each type of noun,शब्द भंडार,वर्ग पहेली ,व्याकरण ज्ञान ,Ch 2 Lines and Angles,"Another activity is ""Lines and Angles in Your Name,"" ",Students can use their knowledge to solve problems involving parallel lines and transversal,Ch 2 Diversity in living organism,"Explanation, discussion, videos and showing images, group activity, real life examples",Students will get to know about different plants and animals,Locating places on the Earth ,A PRESENTATION ON PHYSICAL FEATURES/MAP ACTIVITY,"They will be able to understand and tell about globe, latitudes and longitudes ",शब्दार्था:,लेखन कार्यम्,ज्ञान वृद्धि:,Ch 1 computer network,Lab Activity - MS Word 2016,Students will able to tell characteristics of computers
"MAY -2025 
(15 DAYS)",1,Ch-1Rama to the Rescue,Role play ,They will be able to learn qualities such as the value of quick thinking and resourcefulness,भाषा और व्याकरण ,चार्ट बनाना ,व्याकरण ज्ञान,Ch 2 Lines and Angles,"Divide students into groups and have them search for real-world examples of different types of lines (parallel, intersecting, perpendicular) in magazines, newspapers, or online images. ","Students can apply their knowledge of angles and lines to solve problems involving triangles, quadrilaterals, and other geometric figures. ",Ch 3 Mindful eating,"Explanation, discussion, videos and showing images, group activity, real life examples",Students will get to know about food and eating habits,Locating places on the Earth ,NEWSPAPER READING AND DIARY ENTRY ON/GROUP DISCUSSION,"They will be able to understand and tell about globe, latitudes and longitudes ","संज्ञा शब्द रूपाणि आकारान्त स्त्रीलिड्ग बालिका ,रमा",कक्षाभ्यास: संज्ञा शब्द रूपाणाम् ज्ञानम् ,शुद्ध अशुद्ध- विषये ज्ञास्यंतीति,Ch2  Number system,Lab Activity - MS Word 2016,Students will able to tell advantages & disadvantages of algorithm and flowchart
,2,Grammar -Ch-4Nouns: Number ,Singular Plural Matching ,They will be able to apply the correct number of nouns in spoken and written sentences,वर्ण विचार ,नाट्यमंचन ,व्याकरण ज्ञान,Ch 2 Lines and Angles,Extra questions based on given Topics.,Identify and apply the properties of lines and angles.,Ch 3 Mindful eating,"Explanation, discussion, videos and showing images, group activity, real life examples",Students will get to know about food and eating habits,Family and Community ,GROUP ACTIVITY/DEBATE,They will be able to understand and tell about family and Community ,३.अहं च त्वं च  ,"कक्षाभ्यास: सर्वनाम शब्द रूपाणाम् ज्ञानम् , प्रातःकालस्य विषये ज्ञास्यन्ति।",शुद्ध अशुद्ध- विषये ज्ञास्यंतीति,Ch2  Number system,Lab Activity - MS Word 2016,Students will able to drawing a flowchart and writing algorithm
,3,SUMMER VACATION ,SUMMER VACATION ,SUMMER VACATION ,ग्रीष्मकालीन अवकाश ,,,SUMMER VACATION,,,SUMMER VACATION ,SUMMER VACATION ,SUMMER VACATION ,SUMMER VACATION,SUMMER VACATION,SUMMER VACATION,ग्रीष्मकालीन अवकाश ,,,Summer vacation ,,
