DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS XI-COMMERCE ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HISTORY ,,,POLITICAL SCIENCE ,,,ECONOMICS ,,,ENTREPRENEURSHIP,,,INFORMATICS PRACTICES,,,PHYSICAL EDUCATION ,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes
"APRIL-2025
(21 DAYS)",1,Ch.1 the Portrait of a Lady(Hornbill),"Reading, Explanation & Discussion","-	will be able to develop an independent attitude in thought and action.
-	Bond of love and care with grand parents.
",Writing and the City Life ,Panel Discussion,Compare and analyze the transformation from Neolithic to Bronze Age Civilization in order to understand the myriad spheres of human development.,Constitution why and how and Philosophy of the Constitution. topic- The making of the Constitution. ,Collage/ Group Discussion,The students will understand the historical process and circumstances in which the constitution was drafted.,,,,Unit 1 Entrepreneurship: Concept and Functions,Explanation and discussion,"Meaning of Entrepreneurship, Entrepreneur & Enterprise",Introduction  Of IP,Role and importance/ Application areas of CS in future,Students will understand the importance and future with this subject,,,
,2,Ch.2 We are not afraid to die(Hornbill),"Reading, Explanation & Discussion",- will understand adventure & risk of sea journey,Writing and the City Life ,"Map Work, Worksheet ","Elucidate the interwoven social and 
cultural aspects of civilization in 
order to understand the connection 
between city life and culture of 
contemporary civilizations.",Constitution why and how. ,Group Discussion/Collage,The students will understand the historical process and circumstances in which the constitution was drafted.,,,,Unit 1 Entrepreneurship: Concept and Functions,Explanation and discussion,Entrepreneurship: Functions and Need,Introduction  Of IP,Role and importance/ Application areas of CS in future,Students will understand the importance and future with this subject,,,
,3,Ch1. The summer of the beautiful horse(snapshots),"Reading, Explanation & Discussion","-importance of honesty, trust and family prestige - armenian culture and life",Writing and the City Life ,"Map Work, Worksheet ",Analyze the outcomes of a sustained tradition of writing.,Constitution why and how. ,Group Discussion/Collage,The students will understand the historical process and circumstances in which the constitution was drafted.,,,,Unit 1 Entrepreneurship: Concept and Functions,Explanation and discussion,Myths about Entrepreneurship ,Introduction of SQL ,DBMS and RDBMS,Students will understand the use of SQL in DBMS,,,
,4,Poem 1: A Photograph,"Reading, Explanation & Discussion",- will know loss and memories and its value  - will accept the unavoidable situaton in life,Writing and the City Life ,"Map Work, Worksheet ",Analyze the outcomes of a sustained tradition of writing.,Rights and Duties in Constitution,Debate and Group Discussion,Understand the importance of right and duties.,,,,Unit 1 Entrepreneurship: Concept and Functions,Explanation and discussion,Advantages and Limitations of Entrepreneurship ,SQL Basics,Session: Introduction to databases and SQL,Understand database concepts and SQL syntax.,,,
,5,Reordering of Sentences,Explanation & Practice,- will be able to identify the different types of sentences - will be able to form correct sentences to fulfill their needs,Roman Empire,Debate,To know about the social hierarchies of Roman Empire.,Rights and Duties in Constitution,Debate and Group Discussion,Understand the rights and duties for a citizen in India.,,,,Unit 1 Entrepreneurship: Concept and Functions,Explanation and discussion,Process of Entrepreneurship ,SQL Queries,"Session: SELECT, INSERT, UPDATE, DELETE statements",Retrieve and manipulate data in databases.,,,
"MAY -2025 
(15 DAYS)",1,Ch3: Discovering Tut: The saga continues(Hornbill),"Reading, Explanation & Discussion","- wiil be familiar with Egyptian life, culture and technology - With know the life and history of King Tut",Roman Empire,"Map Work, Group Discussion ","Understand the phenomenon of the rise, growth and fall of Empires in specific reference to the Roman and the Mongol Empires.",Rights and Duties in Constitution,Debate and Group Discussion,Understand the rights and duties for a citizen in India.,,,,Unit 1 Entrepreneurship: Concept and Functions,Explanation and discussion,Process of Entrepreneurship ,SQL Queries,"Session: SELECT, INSERT, UPDATE, DELETE statements",Retrieve and manipulate data in databases.,,,
,2,Tenses- References,Explanation & Practice,-will be able to understand different types of Tenses - will use tense in day to day life to express views and thoughts effectively and fulfill language skills,Roman Empire,Debate,To know about the social hierarchies of Roman Empire.,Political Theory,Presentation,Understand different themes and thinkers associated with the real life. Develop the skill of logical reasoning.,,,,Unit 1 Entrepreneurship: Concept and Functions,Explanation and discussion,Entrepreneurship: The Indian Scenerio,SQL Queries,Fetching data from database using various condition ,Retrieve and manipulate data in databases.,,,
,3,Tenses - Indetification,Explanation & Practice,- will identify tenses and will be able to use tenses correctly,Summer Vacation,Summer Vacation,Summer Vacation,SUMMER VACATION,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,SQL Queries,Fetching data from database using various condition ,Retrieve and manipulate data in databases.,,,
,4,Summer Vacation,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,SUMMER VACATION ,,,,,
,5,Summer Vacation,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,SUMMER VACATION ,,,,,
"JUNE-2025
 (15 DAYS)",1,Summer Vacation,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,SUMMER VACATION ,,,,,
,2,Summer Vacation,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,SUMMER VACATION ,,,,,
,3,Summer Vacation,,,Nomadic Empires,Map Work,"The students will come to
know about the nomads and
their lifestyles.
",Summer Vacation,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,SQL Queries,"Group by in SQL , fecthing data after making group of columns",Students will be able to fetch data from DB as per group created by them,,,
