DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS XI-COMMERCE ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HISTORY ,,,POLITICAL SCIENCE ,,,ECONOMICS ,,,INFORMATICS PRACTICES,,,PHYSICAL EDUCATION ,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes
"APRIL-2025
(21 DAYS)",1,The Last Lesson,EXPLANATION AND DISCUSSION ,"""Understand the historical context of the Franco-Prussian War and its impact on Alsace-Lorraine.

Identify key characters—Franz, M. Hamel, villagers—and their roles in the narrative.

","Bricks, Beads and Bones","Map Work, PPT Presentation",Students will be able to critically analyze how natural features benefited the people in the Indus valley.,ALTERNATIVE CENTERS OF POWER,QUIZ,UNDERSTAND THE KEY POLITICAL EVENTS AND PROCESSESIN THE POST-COLD WAR ERA.,Indian Economics Ch 2 Indian economy 1950-90,Explanation and discussion,"Agriculture, Industrial Sector reforms ",Introduction to Python Libraries,Discussion on libraries like Pandas and Matplotlib,Understand purpose of libraries,,,
,2,"My Mother At Sixty Six,Notice",EXPLANATION AND DISCUSSION ,"""Understand the central theme of aging, separation, and filial love as expressed by the poet.

Identify the use of imagery and tone (e.g. “drifting away,” “weakening”) to convey the speaker’s emotions.

Analyze how the poet’s choice of words and line breaks creates a mood of poignancy and vulnerability.
""","Bricks, Beads and Bones",Group Discussion,Students will be able to place the Indus valley within the correct spatial location. They will also be able to describe where the Indus valley exists within today's geopolitics of India and Pakistan.,ALTERNATIVE CENTERS OF POWER,DEBATE,Summarise India’s relations with China.,Indian Economics Ch 2 Indian economy 1950-90,Explanation and discussion,"Foreign Exchange reforms, Critically Appraise",Series in Pandas,Create Series from ndarray/dictionary,Create and manipulate Series,,,
,3,"Keeping Quiet, Lost Spring",EXPLANATION AND DISCUSSION ,"Organize information logically, using headings, subheadings, tables, and figures where necessary.""KEEPING QUITE Understand the poem’s central message: the value of silence and introspection for human unity.","Kings, Farmers and Towns","Role Play, Drama",Able to Know about the main features of Mauryan administration.,ERA OF ONE PARTY DOMINANCE,DEBATE/PROJECT,EXPLAIN THE PURPOSE OF THE UNITED NATIONS.,Indian Economics Ch NEP 1991 (LPG),Explanation and discussion,Liberation and Privatisation reforms 1991,Operations on Series,"Use head(), tail(), indexing, slicing",Apply operations on Series,,,
,4,"A Thing of Beauty,  Invitation & Reply",EXPLANATION AND DISCUSSION ,"""Theme Exploration:Theme Exploration:
Students will identify and discuss key themes such as loneliness, fear, appearance versus reality, inner beauty, and the importance of positive thinking.""","Kings, Farmers and Towns",Picture Observation,Able to Know the notions of kingship that developed in the post-Mauryan period.,ERA OF ONE PARTY DOMINANCE,DEBATE/PROJECT,EXPLAIN THE PURPOSE OF THE UNITED NATIONS.,Indian Economics Ch NEP 1991 (LPG),Explanation and discussion,"Globalization, GST & Demonetisation",DataFrames: Introduction,Create DataFrames from dict and list,Understand structure of DataFrames,,,
,5,The Third Level,EXPLANATION AND DISCUSSION ,"""Understand the basic plot: Galloway’s discovery of a mysterious “third level” at Grand Central Station and its significance.

Identify the elements of science fiction and fantasy in the narrative (time‐slip, alternate reality).

Analyze the character of Charley Galloway—his motivations, desires, and sense of alienation""","Kinship, Caste and Class","Group Discussion, Quiz",Able to know about the marriage system in early India focusing on Mahabharata.,CONTEMPORARY SOUTH ASIA,MEETING NAM,TO UNDERSTAND THE MEANING OF SOCIALISM AND CAPITALISM.,Macreeconomics Ch Money ,Explanation and discussion,Money Functions and It's Evolution ,Operations on DataFrames,Add/delete/select/rename columns,Modify and manage DataFrames,,,
"MAY -2025 
(15 DAYS)",1,The Third Level,EXPLANATION AND DISCUSSION ,"""Understand the basic plot: Galloway’s discovery of a mysterious “third level” at Grand Central Station and its significance.

Identify the elements of science fiction and fantasy in the narrative (time‐slip, alternate reality).

Analyze the character of Charley Galloway—his motivations, desires, and sense of alienation""","Kinship, Caste and Class","Debate, Map Work",Familiarise the students with the issues in social history. ,CONTEMPORARY SOUTH ASIA,REPORT/DEBATE,TO UNDERSTAND THE MEANING OF SOCIALISM AND CAPITALISM.,Macreeconomics Ch Money ,Explanation and discussion,Money Supply and Credit Creation ,Indexing in DataFrames,Boolean indexing and label selection,Use indexing techniques,,,
,2,The Tiger King,EXPLANATION AND DISCUSSION ,"""Understand the plot and setting: the tiger hunt, the king’s obsession, and the socio-cultural backdrop.

Identify key characters— the Raja, his ministers, and the tigers—and their roles in driving the narrative.

Analyze the theme of power and ego: how the king’s pride shapes his decisions and fate.""","Thinkers, Beliefs and Buildings ","Panel Discussion, Chart on major thinkers",Able to know about the major religious developments in early India focusing on Buddhism,CONTEMPORARY SOUTH ASIA,REPORT/DEBATE,TO UNDERSTAND THE MEANING OF SOCIALISM AND CAPITALISM.,Macreeconomics Ch Banking ,Explanation and discussion,Functions of the Central Bank ,Import/Export CSV files,Read and write CSV using pandas,Exchange data with files,,,
,3,A Roadside Stand,EXPLANATION AND DISCUSSION ,"""comprehend the theme of rural poverty, neglect, and the urban-rural divide. Identify and explain the use of imagery, irony, contrast, alliteration, and personification

""","Thinkers, Beliefs and Buildings ","Worksheet, Map Work, Quiz","Able to understand, how the religious ideas were compiled as texts and reflected in architecture and sculpture.",INDIA'S EXTERNAL RELATIONS,DEBATE,DESCIBE HOW GLOBALISATION INFLUENCE GOVERNMENT POLICY.,Macreeconomics Ch Banking ,Explanation and discussion,Measures to Control Money Supply ,Data Visualization: Introduction,Use line/bar/histogram,Create basic plots with matplotlib,,,
,4,Summer Vacation,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,,,,
,5,Summer Vacation,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,,,,
"JUNE-2025
 (15 DAYS)",1,Summer Vacation,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,,,,
,2,Summer Vacation,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,,,,
,3,Summer Vacation,,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,Summer Vacation,Summer Vacation,Summer Vacation,Summer Vacation,,,,,
,4,"Deep Water,Letters to the editor",EXPLANATION AND DISCUSSION ,Comprehend the narrative: Douglas’s childhood fear of water and how he overcomes it.,Through the Eyes of the travellers,"Comparative study of Al- Biruni, Ibn Battuta, Bernier",Discuss how traveler's accounts can be used as sources of social history.,INDIA'S EXTERNAL RELATIONS,DEBATE,DESCIBE HOW GLOBALISATION INFLUENCE GOVERNMENT POLICY.,"Indian Economics Ch India, Pakistan and China",Explanation and discussion,Reforms of China ,Customize plots,"Add title, labels, legend",Enhance visualizations,,,
,5,"The Rattrap,app.for a job ",EXPLANATION AND DISCUSSION ,"understand the metaphor of the world as a rattrap, symbolizing temptations, greed, and the trap of materialism. Encourage students to put themselves in others’ shoes and understand their struggles and reasons behind certain behaviors.",Through the Eyes of the travellers,Role Play,Discuss how traveler's accounts can be used as sources of social history.,INDIA'S EXTERNAL RELATIONS,ROLE PLAY,Recognise the significance of NAM,"Indian Economics Ch India, Pakistan and china",Explanation and discussion,Compare IPC,Practical Work,Implement learned concepts in lab,Apply concepts practically,,,
"JULY 2025 
(27 DAYS)",1,"Indigo, Report Writing",EXPLANATION AND DISCUSSION ,INDIGO Understand the historical context of the Champaran movement and Gandhi’s role in Indian independence.Learn how Gandhi’s principles of non-violence and civil disobedience were applied in real situations.,Bhakti-Sufi Traditions,Poster making- Saints & Sufi poets,Familiarise the learner with religious developments.,INTERNATIONAL ORGANISATION,QUIZ,EXPLAIN THE PURPOSE OF THE UNITED NATIONS.,Macreeconomics Ch Intro. of National Income ,Explanation and discussion,Circular Flow of Money ,Revision of Class XI SQL,"Revise SELECT, WHERE, INSERT",Refresh database basics,,,
,2,Poets and Pancakes,EXPLANATION AND DISCUSSION ,"""insights into the inner workings of the Gemini Studios and understand how satire is used to highlight the absurdities and contradictions of the film world.

Appreciation of Narrative Style

Learners will appreciate the autobiographical and humorous style of writing, characterized by wit, irony, and observational depth.""",Bhakti-Sufi Traditions,"Role play, Group discussion",Know about the bhakti traditions.,INTERNATIONAL ORGANISATION,PROJECT,LIST MEMBERS OF THE UNITED NATIONS.,Macreeconomics Ch Aggregate of National Income ,Explanation and discussion,"GDP, GNP, NDP & NNP at MP and FC",SQL Math Functions,"Use POWER(), ROUND(), MOD()",Perform math operations in SQL,,,
,3,"Journey to the End of the Earth,Aunt Jennifer’s Tigers",EXPLANATION AND DISCUSSION ,"""Students will understand the importance of Antarctica in studying climate change, global warming, and environmental conservation.

Realize how past geological events shape the present and affect the future of our planet.""",An Empirial City,"Map Work, PPT Presentation",Discuss the buildings that were built during the time and the ways in which architecture can be analyzed to reconstruct history.,Challenges to and Restoration of the Congress System,Debate,Understand the challenges of political succession after Nehru.,Macreeconomics Ch Aggregate of National Income ,Explanation and discussion,Mathematical relation between various aggregate of National Income ,SQL Text Functions,"Use UPPER(), LOWER(), LENGTH()",Manipulate text in SQL,,,
