DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS IV ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HINDI,,,MATHEMATICS,,,EVS,,,SANSKRIT,,,COMPUTER ,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes
"APRIL-2025
(21 DAYS)",1,Unit 1.wake up,"enhance their reading skills, vocabulary ","Students will be able to enhance their reading skills, Describe and learn new vocabulary  ,Importance of time",पाठ- 1 मन के भोले-भाले बादल( कविता) ,तरह-तरह के बादलों के चित्र बनाना,खुशी व जिज्ञासा के भावों का विकास,Bridge course,Revision of previous topics,students will able to recall addition subtraction multiplication division,Ch-1 GOING TO SCHOOL ,,draw a picture of your school /uses of bridge ,वंदना ,सस्वर वाचन,सांस्कृतिक - धार्मिक- मूल्य -विकास,Ch 1 Computer history,Lab Activity - WordPad,Students will able to tell early calculating device
,2,Unit 1Neha' alarm clock,"reading, new words, book exercises ","Students enhance their reading skills,learn about new words they will manage time ","पाठ 1 भाषा, लिपि और व्याकरण ",लिखित व मौखिक भाषा के उदाहरण लिखने,व्याकरण ज्ञान ,Bridge course,Revision of previous topics,students will able to recall different shapes and measuring units,ch -1 GOING TO SCHOOL ,,draw a picture of your school ,वंदना ,सस्वर वाचन,सांस्कृतिक - धार्मिक- मूल्य -विकास,Ch 1 Computer history,Lab Activity - WordPad,Students will able to tell modern computers
,3,Unit 2 Noses,"recite and explain,new words ques and ans","enhance their reading skills, vocabulary they understand the uses of Nose",पाठ- 2 जैसा सवाल वैसा जवाब,अकबर और बीरबल की कहानी सुनाना,उन्नति के मार्ग में सहायक बनने की सीख,Ch 1 Building with bricks,measuring brick activity,"students will able to measure the break and draw 3D shapes identify their faces, vertices and edges. ",Ch-1 GOING TO SCHOOL ,,different types of bridges,स्व -परिचय:,मौखिक अभिव्यक्तिं वर्धयितुं,ज्ञानात्मक च क्रियात्मक विकास,Ch 1 Computer history,Lab Activity - WordPad,Students will able to tell types of computer
,4,Unit 2The little fir tree,"word meaning,ques and ans, book exercises","enhance their reading skills, vocabulary ,Learn the uses of trees and its uses",पाठ- 2 वर्ण - विचार (उच्चारण और वर्तनी),वर्ण - विचार का रेखांकन करना ,वर्ण - विचार  का ज्ञान होना,Ch 1 Building with bricks,draw to brick wall patterns,"students will able to solve sums word problems, draw brick wall patterns, jali  and Jharokh ",Ch-2 EAR TO EAR,,different types of ears,१.प्रातः काल ,भावार्थ लेखनं ,प्रातः कालस्य ज्ञानम् ,Ch 1 Computer history,Lab Activity - WordPad,Students will able to tell limitations of computers
,5," Grammar chapter 1:Sentences, Ch-2Types of sentences  Ch ","kinds of sentences and exercise , definition ",Students will learn the types of sentences ,पाठ 21 अपठित गद्यांश,अपठित गद्यांश से प्रश्नों के उत्तर छांट कर लिखना,सकारात्मकता का विकास,Ch 2 Long and Short,measuring activity using scale,students will able to draw lines of given measurement able to do addition subtraction, ch -2 EAR TO EAR ,different types of animals ,don't tease animals,२.रमणीया वाटिका ,अनुच्छेद लेखनं ,प्राकृतिक  वातावरणस्य ज्ञानं ,Ch 1 Computer history,Lab Activity - WordPad,Students will able to tell characteristics of computers
"MAY -2025 
(15 DAYS)",1,Grammar Chapter 3:Negative and interrogative sentence ,"definition,book exercises ",Students will learn and able to write the types of sentences  and their uses by their own.,  पाठ- 3   किरमिच की गेंद   ,गेंद का चित्र बनाना,कल्पना और रचनात्मकता को विकसित करना,Ch 2 Long and Short,conversion activity,"students will able to convert the units like kilometre into metre, metre into centimetre,centimetre into metre, metre into kilometre. ", ch  -3 A DAY WITH NANDU,draw a picture of baby elephant ,stop hunting ,३.बलवान् क:?,भावार्थ व सर्वनाम शब्द रूपाणाम् ज्ञानम् ,सर्वनाम शब्द रूपाणाम् ज्ञानम,Ch2  Computer memory,Lab Activity - WordPad,Students will able to tell computer memory
,2,Revision of taught content ,taking class test ,Students will come to know their weak areas and improve it.,  पाठ- 3   किरमिच की गेंद   ,विभिन्न प्रकार की गेंद का  चित्र बनाकर रंग भरना,कल्पना और रचनात्मकता को विकसित करना,Ch 2 Long and Short ,Extra question for practice,students will able to solve story sums, ch  -3 A DAY WITH NANDU,make a small animal ,stop hunting ,संस्कृत वर्णमाला ,हृस्व दीर्घ व संयुक्त स्वराणाम् ज्ञानं,संस्कृत वर्णमालाया : ज्ञानं ,Ch2  Computer memory,Lab Activity - WordPad,Students will able to tell types of computer memory
,3,summer vacations ,,,                           ग्रीष्मकालीन अवकाश,,,,,,summer vacations,,,Summer vacation ,,,Summer vacation ,,
,4,summer vacations ,,,                           ग्रीष्मकालीन अवकाश,,,SUMMER VACATION,,,summer vacations,,,,,,,,
,5,summer vacations ,,,                           ग्रीष्मकालीन अवकाश,,,SUMMER VACATION,,,summer vacations,,,,,,,,
"JUNE-2025
 (15 DAYS)",1,summer vacations ,,,                           ग्रीष्मकालीन अवकाश,,,SUMMER VACATION,,,summer vacations,,,,,,,,
,2,summer vacations ,,,                           ग्रीष्मकालीन अवकाश,,,SUMMER VACATION,,,summer vacations,,,,,,,,
,3,summer vacations ,,,                           ग्रीष्मकालीन अवकाश,,,SUMMER VACATION,,,ch -4 THE STORY OF AMRITA,picture of village ,save tree,,,,,,
,4,Grammar Chapter 3 :subject and predicate  Ch-5 Parts of speech,definition and book exercises ,students will come to know parts of sentence and their  use," पाठ- 4  पापा जब बच्चे थे, पाठ-20 सूचना लेखन",पाठ से संबंधित परिचर्चा,अपनी रुचि के अनुसार काम का चयन करना,ch 3  Trio to Bhopal,guess the distance activity,students will able to do addition subtraction mentally,ch -5 ANITA AND THE HONEYBEES,draw a hive,importance of honey ,४वार्तालापम्,लघुवाक्येषु संस्कृतभाषायां संवाद लेखनम्,मौखिक अभिव्यक्तिं वर्धयितुं ,Ch2  Computer memory,Lab Activity - MS Word,Students will able to tell computer memory and its type
,5,"Grammar Writing section Ch-30 and 32:Application writing , Paragraph writing ",format of application writing ,they will  learn how to write applications will enhance their writing skills ,"पाठ- 3 शब्द, पाठ- 4 वाक्य","शब्द उदाहरण का अभ्यास, 5 वाक्य निर्माण",व्याकरण लेखन कौशल का विकास,ch 3  Trio to Bhopal,Extra question,students will able to solve word problem,ch -6 OMANA'S JOURNEY ,picture of diary,write five name of capitals of different state ,५.मम  सड्कल्प ,केवल पठनाय ,लृट् लकारस्य ज्ञानं ,Ch3 Windows 10  ,Lab Activity - Changing the desktop background,Students will able to tell the role of operating system
"JULY 2025 
(27 DAYS)",1," Gr,Chapter 6 and 7Nouns common and proper, singular and plural ",definition and book exercises , they will identify the kinds of noun ,"पाठ- 5 संज्ञा, पाठ- 6 लिंग",संज्ञा और लिंग शब्दों से वाक्य निर्माण,व्याकरण लेखन कौशल का विकास,Ch 4 Tick tick tick,activity of telling time in minutes,students will able to tell the time in in minutes and convert 12 hours into 24 hours,ch -7 FROM THE WINDOW,draw a train ,write five name of capitals of different state ,अद्भुत स्वप्नम्,केवल पठनाय ,केवल पठनाय ,Ch3 Windows 10  ,Lab Activity - how to set screen saver,Students will able to tell how to set screen saver
,2,"Grammar Ch-7, 8, 9 and 10countable and uncountable nouns, Collective noun, Gender","definition, book exercises  and examples "," they will able to identify the kinds of noun ,They will differentiate in Gender Noun","पाठ- 5 दोस्त की पोशाक ,पाठ 16 संवाद लेखन","विभिन्न प्रकार की पोशाकों का चित्र बनाना ,संवाद लेखन कार्य ","सहयोगात्मक भावना का विकास, विचारों का आदान-प्रदान",Ch 4 Tick tick tick,arrange the hands of clock according to given time activity,students will able to add subtract multiply the time and find the time duration,ch -8 REACHING GRANDMOTHER 'S HOUSE,picture of boat ,understand railway time,अभ्यास प्रश्न-पत्र -१,अभ्यास प्रश्न-पत्र -१,अभ्यास प्रश्न-पत्र -१,Ch3 Windows 10  ,Lab Activity -  how to customize taskbar,Students will able to tell how to customize taskbar
,3,"Grammar Ch -11 ,12,13 Noun Possession, Pronoun-Personal, and Possesive   ","definition, book exercises  and examples ","they will identify the kinds of noun , Students will learn   possessive pronouns and their correct uses in sentences",पाठ- 6 नाव बनाओ नाव बनाओ ( कविता),कागज की नाव बनानी ,कल्पना और रचनात्मक कौशल का विकास,Revision For PT 1,,,REVISION ,,,६.ज्ञान वर्धका: श्लोका,भावार्थ च श्लोक लेखनं ,जीवने विद्याया: महत्वम्,Ch3 Windows 10  ,Lab Activity -  how to adjust date & time,Students will able to tell how to adjust date & time
,4, Revision  of pt 1 st,revision work of given syllabus ,,PT 1  परीक्षा हेतु अभ्यास कार्य ,,,Revision for PT 1,,,pt 1 Exam,,,संज्ञा ,व्याख्या विधि:,व्याकरण ज्ञानं ,Ch4 MS Word 2021,Lab Activity -  MS Word 2021,Students will able to tell about Word 2021 and its features
,5,pt - 1st,,,PT 1  परीक्षा ,,,PT 1 Exam ,,,pt 1 Exam,,,सर्वनाम ,व्याख्या विधि:,व्याकरण ज्ञानं ,Ch4 MS Word 2021,Lab Activity -  MS Word 2021,Students will able to tell about components of Word 2021
