DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS III ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HINDI,,,MATHEMATICS,,,EVS,,,COMPUTER ,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes
"APRIL-2025
(21 DAYS)",1, Eng R-Unit 1.Fun with friends ,"recite the poem , book exercises ",Will enhance their reading skills and vocabulary ,पाठ 1 सीखो (कविता )    पाठ 1 भाषा बोली और व्याकरण ,कविता- वाचन ,वाचन व लेखन कौशल का विकास,Bridge course, Addition and Subtraction,students will able to revise their previous knowledge,Ch-1 Family and Friends ,,role  play / give importance to family ,Ch 1 Computer Basics,Lab Activity - WordPad,Students will able to learn Uses of computers in different places
,2," Eng R-Unit 1 ,ch -1 colours ","recite the poem, book exercises ",Will enhance their reading skills and vocabulary ,पाठ 2 चींटी,सस्वर कविता -वाचन ,परिश्रम के महत्व को जानकर प्रेरित होना ,Bridge course,Multiplication and Division,students will able to revise their previous knowledge,Ch-1 Family and Friends ,,list of friends /behave properly with your friends ,Ch 1 Computer Basics,Lab Activity - WordPad,"Students will able to learn Input ,output and storages devices"
,3,Unit 1 ch-2 Badal and Moti ,"explanation of ch , word meaning, book exercises ",Will enhance their reading skills and vocabulary ,पाठ 3 .कितने पैर ,चित्रों के माध्यम से जानना ,बौद्धिक एवं रचनात्मक कौशल विकसित करना  ,ch 1 What's in a name,oral counting in words and figure,Students will able to count numbers till   thousand,Ch-1 Family and Friends ,,make family tree/make your family happy ,Ch 1 Computer Basics,Lab Activity - WordPad,Students will able to learn Characteristics of computer
,4,Grammar chapter 1.sentences ,definition and book exercises ,students will be able to know kind of sentences and their uses ,    पाठ 2 वर्ण और  वर्णमाला ,वर्णमाला का सस्वर वाचन,वाचन व लेखन कौशल विकसित होना,ch 1 What's in a name,class activity count and mark the no of students in different house,Student will able to count thing by drawing symbols,Ch-1 Family and Friends ,, play games with your friends / fun with friends ,Ch 1 Computer Basics,Lab Activity - WordPad,Students will able to learn hardware and software
,5,Grammar chapter 2 common and proper noun,definition and book exercises ,students will be able to  identify the kinds of noun and easily ,4. बया हमारी चिड़िया रानी ,सस्वर कविता -वाचन,वाचन -कौशल विकसित करना ,ch 1 What's in a name,Extra question in note book,students will able to solve story sums, ch -2 Going to mela,role play,to be happy ,Ch 1 Computer Basics,Lab Activity - WordPad,Revision
"MAY -2025 
(15 DAYS)",1,"Writing section: Paragraph writing- My mother , gr ch-2 Nouns","write on the board , some exercises of noun",sudents will learn to speak some sentences on their mother  and easily identify the kinds of noun,4. बया हमारी चिड़िया रानी ,सस्वर कविता -वाचन,वाचन -कौशल विकसित करना ,Ch 2 Toy joy,Draw 5 2 D shapes and 5 3 D shapes i,Students will able to Draw and identify shapes, ch -2 Going to mela,collect name of things that you purchase from mela,to know more about their traditions ,Ch2 Windows 10  and file managment,Lab Activity - WordPad,Students will able to tell features of windows 10
,2,Unit 1 CH3: Best friends,"word meaning , book exercises question and answers , paragraph - best friends ",Will enhance their reading skills and vocabulary  and Will be able to know the importance of unity ,पाठ 3 मात्रा ज्ञान,मात्रा ज्ञान होना,मौखिक अभिव्यक्ति विकसित करना ,Ch 2 Toy joy,Make model of any 3 D shapes,Students will able to do addition, ch -2 Going to mela,name the rides,magic show,Ch2 Windows 10  and file managment,Lab Activity - WordPad,Students will able to tell operating system and ita examples
,3,summer vacations ,,,                           ग्रीष्मकालीन अवकाश,,,SUMMER VACATION,,,summer vacations,,,Summer vacation ,,
,4,summer vacations ,,,                           ग्रीष्मकालीन अवकाश,,,SUMMER VACATION,,,summer vacations,,,,,
,5,summer vacations ,,,                           ग्रीष्मकालीन अवकाश,,,SUMMER VACATION,,,summer vacations,,,,,
"JUNE-2025
 (15 DAYS)",1,summer vacations ,,,                           ग्रीष्मकालीन अवकाश,,,SUMMER VACATION,,,summer vacations,,,,,
,2,summer vacations ,,,                           ग्रीष्मकालीन अवकाश,,,SUMMER VACATION,,,summer vacations,,,,,
,3,summer vacations ,,,                           ग्रीष्मकालीन अवकाश,,,SUMMER VACATION,,,ch -3 celebrating festivals ,how do you celebrate festival ,family get together ,,,
,4,summer vacations ,,,"पाठ 4 शब्द और वाक्य , पाठ 5 आम का पेड़, 6 .बीरबल की खिचड़ी , ",फलों के महत्व के बारे में जानेंगे बीरबल से जुड़ी कहानियों को जानेंगे,"फलों के महत्व को समझाना, मौखिक अभिव्यक्ति विकसित करना  ",Ch 3 double century,face value face value activity,students will able to write place value and face value of given digit and do addition of three digits,ch -3 celebrating festivals ,role play of elder brother and sister ,time for enjoyment ,Ch2 Windows 10  and file managment,Lab Activity - WordPad,Students will able to tell desktop and icons
,5," gr- ch 3- countable nouns and uncountable nouns,ch-4 - singular and plural noun ","word meaning , book exercises question and answers ",Will be able to identify countable and uncountable nouns and easily  distinguish whether they are singular or plural ,"पाठ 7 .मित्र को पत्र      पाठ 8 चतुर गीदड़,    पाठ 5   संज्ञा ","पत्र व व्यक्तिवाचक ,जातिवाचक या भाववाचक संज्ञाओं का वर्णन ,गीदड़ की कहानी लिखना ","कठिन समय में चतुरता से काम करने का ज्ञान होना, लिंग के भेदों का ज्ञान होना  ",Ch 3 double century,extra question for practice,students will able to do 3 digit subtraction,ch -3 celebrating festivals ,gifts you got from uncle ,sharing and caring,Ch2 Windows 10  and file managment,Lab Activity - Changing the desktop background,Students will able to tell how to change desktop background
"JULY 2025 
(27 DAYS)",1,"Unit 2:Toys and games, ch 28-  listening comprehension ","recite the poem, book exercises ",Will enhance their reading skills and vocabulary ,"पाठ 9 .प्रकृति पर्व -फूलदेई,  पाठ 6 लिंग , पाठ 7 वचन, पाठ 21 कहानी लेखन","पर्वों पर वार्तालाप व सूची बनाना  व चित्रों के माध्यम से लिंग , वचन की पहचान ",सांस्कृतिक पर्वों  का ज्ञान व व्याकरण ज्ञान , Ch 4 vacation with my nani Maa, counting activity using maths,able to write number name 12000 and do skip counting in ten's and hundreds,ch -4 Getting to know plants ,draw a picture of plant and label it.,take care of plants ,Ch3 Windows Accessories ,Lab Activity - how to open windows acessories folder,Students will able to tell how to open accessories folder
,2,"gr ch -27 story writing, ch-21 Vocabulary , ch - 24 - invitation , ","complete stories given in book, exercises given  in book ",students will be able to learn the moral of the story and implement in our life and enhance their vocabulary and writing skills ,"पाठ 10 .रस्साकशी,    पाठ 8   सर्वनाम ",खेल विधि व खेलों के नाम की सूची   सर्वनाम शब्दों से परिचित ,"सर्वनाम शब्दों से परिचित होना , खेलों के महत्व का ज्ञान प्राप्त होना", Ch 4 vacation with my nani Maa,jumps in 100 activity,students will able to estimate round of tense and 100 and do addition and subtraction. ,ch -4 Getting to know plants ,collect two things which you get from plants,keep environment clean,Ch3 Windows Accessories ,Lab Activity -  Using paint ,Students will able to tell how to open and use paint program
