DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS IX ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,MATHEMATICS,,,HINDI,,,SCIENCE,,,SOCIAL SCIENCE,,,SANSKRIT,,,AI,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes
"APRIL-2025
(21 DAYS)",1,The Fun They Had,EXPLANATION AND DISCUSSION ,"To imbibe scientific
temperament.
· To identify elements of a story
(character, theme, setting,
conflict and resolution).
· To a do critical analysis of
characters.
· ",Ch-1 Number system ,Practice and discussion ,able to solve sums related to topic.,पद्य खण्ड - कबीर दास ,"शब्दार्थ, सस्वर वाचन ",विद्यार्थी कठिन शब्दों के अर्थ समझेंगे तथा सस्वर वाचन कर सकेंगे।,MATTER IN OUR SURROUNDING,SUBJECT-ENRICHMENT ACTIVITIES OF RELATED TOPICS,Comprehend the structure of matter and how its properties change across different states.,CH-1 GEO INDIA-SIZE AND LOCATION,MAP MAKING AND FILLING/PUZZLE,The students will be able to understand about India:size and location ,izFke% ikB%&HkkjrholUrxhfr% ]LojlfU/k%]nh?k%Z]xq.k%]o`f}%] ;.k] v;kfn] iwoZ:ie~ ¼vUrss fnols ifjp;ikBue~½ xhrksins'k%,d{kk;ka ikBkockss/kusu lg y;}kjk iBukH;kl%A,"HkkjrholUrxfr lUnHksZ ckyk% Kkua dfj"";fUrA",Communication Skills-I,Listening and Speaking,Develop effective communication
,2,"The Road Not taken, The Sound of Music
",EXPLANATION AND DISCUSSION ,"To analyse the logical reasoning
of the situation of making a
decision.
·To learn the skill to evaluate
their progress, by doing revision
and reviewing their work.",Ch-1 Number system ,Practice and discussion ,able to solve sums related to topic.,पद्य खण्ड - कबीर दास,पदों का सरला सरलार्थ तथा भावार्थ करवाना ,विद्यार्थी पदों का सरला सरलार्थ तथा भावार्थ कर सकेंगे।,MATTER IN OUR SURROUNDING,SUBJECT-ENRICHMENT ACTIVITIES OF RELATED TOPICS,Comprehend the structure of matter and how its properties change across different states.,The French Revolution,GROUP DISCUSSION/FLOW CHART/CROSSWORD PUZZLE,The students will be able to understand about  French revolution and French society ,f}rh;% ikB%& Lo.kZZdkd% ¼vUrss fnols ifjp;ikBue~½ xhrksins'k%,vFkZZdj.ke~ ]vU;dFkklap;ua pA,xqq.kL; d% ifj.kke% vusu uSfrdrkKkuao/kZua pA,Self-Management Skills-I,Goal Setting,Learn self-awareness and self-control
,3,. The Sound of Music,EXPLANATION AND DISCUSSION ,"To imbibe values and qualities
like hardwork, simplicity,
determination, optimism and
perseverance.
· To inculcate confidence to
face adversities",Ch-1 Number system ,Practice and discussion ,able to solve sums related to topic.,"पद्य खण्ड - कबीर दास,",पाठ्य पुस्तक के प्रश्नोत्तर करवाना।,विद्यार्थी प्रश्नोत्तर कर सकेंगे।,MATTER IN OUR SURROUNDING,SUBJECT-ENRICHMENT ACTIVITIES OF RELATED TOPICS,Comprehend the structure of matter and how its properties change across different states.,The French Revolution,GROUP DISCUSSION/FLOW CHART/CROSSWORD PUZZLE,The students will be able to understand about  French revolution and French society ,O;atulfU/k% ¼vUrss fnols ifjp;ikBue~½xhrksins'k%,"ljykr~ dkfBU;a izfr ,oe~~ vU;ksnkgj.klaxzg.ka pA","lfU/klEcfU/knks""kk.kkeikdj.ka 'kq}ys[kua leL;klek/kkua pA",ICT Skills-I,Basic ICT Tools,Use ICT responsibly
,4,Subject – verb concord,EXPLANATION AND DISCUSSION ,able to attempt exercises of SVC,Ch-1 Number system ,Practice and discussion ,able to solve sums related to topic.,गद्य खण्ड - दो बैलों की कथा ,कठिन शब्दों के अर्थ करवाना तथा वाचन कर भावार्थ समझाना ,विद्यार्थी कठिन शब्दों के अर्थ बता सकेंगे तथा वाचन कर सकेंगे।,MATTER IN OUR SURROUNDING,"DISCUSSION ,EXPLORATION",Comprehend the structure of matter and how its properties change across different states.,The story of village Palampur,NEWSPAPER READING AND DIARY ENTRY ON/GROUP DISCUSSION,The students will be able to understand about  economic and non economic activities of the village ,folxZlfU/k% ¼vUrss fnols okD;iz;ksxikBue~½,"ljykr~ dkfBU;a izfr ,oe~~ vU;ksnkgj.klaxzg.ka pA","lfU/klEcfU/knks""kk.kkeikdj.ka 'kq}ys[kua leL;klek/kkua pA",Entrepreneurial Skills-I,Entrepreneur Traits,Understand entrepreneurship
,5,"The Little Girl, Wind",EXPLANATION AND DISCUSSION ,"Analyse their relationship with
parents.
· Identify elements of a story
(character, theme, setting,
conflict and resolution).
· Critical analysis of characters.",Ch-3 Coordinate geometry ,Practice and discussion ,able to solve sums related to topic.,गद्य खण्ड - दो बैलों की कथा ,प्रश्नोत्तर करवाना।,विद्यार्थी प्रश्नोत्तर कर सकेंगे।,THE FUNDAMENTAL UNIT OF LIFE-CELL,SUBJECT-ENRICHMENT ACTIVITIES OF RELATED TOPICS,Describe the cell as the fundamental unit of life and relate its components to their functions.,The story of village Palampur,NEWSPAPER READING AND DIARY ENTRY ON/GROUP DISCUSSION,The students will be able to understand about  economic and non economic activities of the village ,jpukReda&dk;e~Za] fp=k/kkfjrokD;kfu¼vUrss fnols okD;iz;ksxikBue~½xhrksins'k%,izznRrdk;kZuqlkjs.k O;fDrxr&izkstsDVfuekZ.ke~A,okD;fuekZ.ksu lg jpukRedrk rFkk /;kudssfUnzdj.ka pA,Green Skills-I,Green Habits,Adopt eco-friendly practices
"MAY -2025 
(15 DAYS)",1,"Rain on The Roof, The Lost Child, Diary Entry",EXPLANATION AND DISCUSSION ,"Analyse the logical reasoning
of the situation.
· Appreciate the beauty of
nature.
· Learn the qualities of
compassion and concern",Ch-2 Polynomials ,Practice and discussion ,able to solve sums related to topic.,गद्य खण्ड - ल्हासा की ओर ,"लेखक परिचय, पाठ परिचय करवाना, शब्दार्थ और प्रश्नोत्तर करवाना।",विद्यार्थी पाठ का भावार्थ और प्रश्नोत्तर बता सकेंगे।,THE FUNDAMENTAL UNIT OF LIFE-CELL,SUBJECT-ENRICHMENT ACTIVITIES OF RELATED TOPICS,Describe the cell as the fundamental unit of life and relate its components to their functions.,What is democracy?Why democracy,GROUP ACTIVITY/DEBATE,The students will be able to understand about democratic form of government and how it is different from other form of government ,r`rh;%ikB%&xkssnksgue~ ¼vUrss fnols dFkkdFkue~½xhrksins'k%,"ljykr~ dkfBU;a izfr ,oa vU;ksnkgj.klaxzg.ka pA",xksnksgue~ lUnHksZ Kkuo/kuZfefrAv'kqf}ukeikdj.ka 'kq}ys[kua leL;klek/kkua pA,Communication Skills-I,Listening and Speaking,Develop effective communication
,2,"The adventures of Toto, The Lake Isle of Innisfree",EXPLANATION AND DISCUSSION ,"To imbibe values like humility,
communal harmony and
generosity.
· Analyse the character traits of
different characters",Ch-2 Polynomials ,Practice and discussion ,able to solve sums related to topic.,पद्य खण्ड - वाख ,"कविता परिचय, शब्दार्थ, भावार्थ तथा प्रश्नोत्तर करवाना।",विद्यार्थी शब्दार्थ और भावार्थ तथा प्रश्नोत्तर बता सकेंगे।,THE FUNDAMENTAL UNIT OF LIFE-CELL,SUBJECT-ENRICHMENT ACTIVITIES OF RELATED TOPICS,Describe the cell as the fundamental unit of life and relate its components to their functions.,What is democracy?Why democracy,GROUP ACTIVITY/DEBATE,The students will be able to understand about democratic form of government and how it is different from other form of government ,r`rh;%ikB%&xkssnksgue~ ¼vUrss fnols dFkkdFkue~½xhrksins'k%,"ljykr~ dkfBU;a izfr ,oa vU;ksnkgj.klaxzg.ka pA",xksnksgue~ lUnHksZ Kkuo/kuZfefrAv'kqf}ukeikdj.ka 'kq}ys[kua leL;klek/kkua pA,Self-Management Skills-I,Goal Setting,Learn self-awareness and self-control
,3,"A Truly Beautiful Mind, Story Writing",EXPLANATION AND DISCUSSION ,"· To analyse the relationship
between characters and events in
the story.",Ch-2 Polynomials ,Practice and discussion ,able to solve sums related to topic.,पद्य खण्ड - सवैया ,"कविता परिचय, शब्दार्थ, भावार्थ और प्रश्नोत्तर करवाना।","विद्यार्थी कविता परिचय, शब्दार्थ और भावार्थ तथा प्रश्नोत्तर बता सकेंगे।",,,,Physical features of India,A PRESENTATION ON PHYSICAL FEATURES/MAP ACTIVITY,"The students will be able to understand the concept of physical features of india like mountains,river,plain areas etc.",,,,ICT Skills-I,Basic ICT Tools,Use ICT responsibly
