DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS LKG II ACADEMIC YEAR -2025-26,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HINDI,,,MATHEMATICS,,,EVS,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes
"APRIL-2025
(21 DAYS)",1,"(W.B)ch-1 lines,(Book)ch-1 letter A,Rhymes-1 I am a special",I spy game,Students will be able to identify upper case letters ," (Book) ch- 1वर्णमाला (W.B) ch-1स्वर ,हिन्दी कविताए- रोज सवेरे",वर्णमाला स्वर गान और पहचान ,वर्णमाला की पहचान करेंगे ,Ch-1 Colours around us ,paper plate rainbow ,Color recognition,Respect others,Demo in class,Students will learn respect to others. 
,2,"(W.B)ch-2 curves,(Book)ch-1 letter A,Rhymes-1 I am a special","Letter.
Hunt",Students will be able to identify upper case letters ," (Book) ch- 2 वर्णमाला स्वर (W.B) ch-1स्वर ,हिन्दी कविताए- रोज सवेरे",वर्णमाला स्वर गान और पहचान ,वर्णमाला की ध्वनि का स्पष्ट उच्चारण करेंगे ,Ch-2 Same and different ,same and different sorting game,Identify pair of Identical objects,Healthy eating habits,Tick the given pictures.,Students will learn good habits
,3,"(W.B)ch-3 Alphabet A to Z,(Book)ch-1 letter A,Rhymes-1 I am a special",Blue button shorting,Students will be able to identify upper case letters ," (Book) ch- 2वर्णमाला स्वर (W.B) ch-2  व्यजन क ,हिन्दी कविताए- वर्णमाला",व्यंजन की सही लेखन प्रक्रिया पहचान ,वर्णमाला की पहचान करेंगे ,Ch-3 Shapes,fun with shapes,Matching and comparing,Ch-1 Myself ,Oral practice,Students will be able to tell about themselves in two/three  sentences 
,4,"(W.B)ch-4 Letter a,(Book)ch-1 letter A,Rhymes-2 My body ",Hand print butterfly,Students will be able to identify upper case letters ," (Book) ch- 2वर्णमाला स्वर (W.B) ch-2  व्यजन क ,हिन्दी कविताए- वर्णमाला",अक्षर ज्ञान व पहचान ,वर्णमाला की पहचान करेंगे ,Ch-4 Sides and corners ,blind fold,Drawing and constructing Shapes,Ch-1 Myself ,Oral practice,Students will be able to tell about themselves in two/three  sentences 
,5,"(W.B)ch-5 Letter b,(Book)ch-1 letter B,Rhymes-2 My body ",class room observation for letters ,Students will be able to identify lower case letters," (Book) ch- 2 अभ्यास कार्य (W.B) ch-2,3,4 व्यजन क,ख,ग, हिन्दी कविताए- सुन-सुन-सुन",अक्षरों का सही स्ट्रोक्स के साथ लेखन व कविता का सस्वर दोहराव ,वर्णमाला व्यजन की पहचान करेंगे ,Ch-5 Pattern,caterpillar walk,Pattern creation,Ch-2 My body ,Oral practice,Students will be able to tell body parts name 
"MAY -2025 
(15 DAYS)",1,"(W.B)ch-6 Letter c,(Book)ch-3 letter C,Rhymes- 2 My body ",letter song,Students will be able to identify upper case letters ," (Book) ch- 2 वर्णमाला स्वर (W.B) ch-2,3,4 व्यजन क,ख,ग, हिन्दी कविताए- सुन-सुन-सुन",अक्षरों का सही स्ट्रोक्स के साथ लेखन व कविता का सस्वर दोहराव ,वर्णमाला व्यजन की पहचान करेंगे ,Ch-6 Number 0,object or no object ,Recognize and identify the number zero,Ch-2 My body ,Oral practice,Students will be able to tell body parts name 
,2,"(W.B)ch-7 Letter d,(Book)ch-4 letter D,Rhymes- 2 My body ",Drawing curve,Students will be able to identify lower case letters," (Book) ch- 3 अभ्यास कार्य (W.B) ch-4,5,6,7,8 व्यजन ग,घ,ङ,व्यजन (क-ङ) चित्र परिचय हिन्दी कविताए- पापा",अक्षरों का सही स्ट्रोक्स के साथ लेखन व कविता का सस्वर दोहराव ,वर्णमाला व्यजन की पहचान करेंगे ,Ch-7 One to one correspondence ,count and match,Matching numerals to quantities,Ch-3 Senses,Oral practice,Students will be able to tell five sense organs name 
,3,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break 
,4,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break 
,5,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break 
"JUNE-2025
 (15 DAYS)",1,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break 
,2,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break 
