DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS NURSERY II ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HINDI,,,MATHEMATICS,,,EVS,,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,
"APRIL-2025
(21 DAYS)",1,Poem with action ( I am special),Rhyme with aciton,students will try to connect and follow the instructions,Poem with action ( EK EKl),Rhyme with aciton,students will try to connect and follow the instructions,Poem with action ( ONE TWO BUCKLE MY SHOE),Rhyme with aciton,students will try to connect and follow the instructions,Poem with action ( Chubby cheeks ),Rhyme with aciton,students will try to connect and follow the instructions,
,2,Lines and curves tracing,colour the letter strokes or stick glitternin strokes shapes,strokes formation,Lines and curves tracing,colour the letter strokes or stick glitternin strokes shapes,strokes formation,Lines and curves tracing,colour the letter strokes or stick glitternin strokes shapes,strokes formation,Colours,picture of rainbow,Students will identifly rainbow colours,
,3,Lines and curves tracing,colour the letter strokes or stick glitternin strokes shapes,strokes formation,Lines and curves tracing,colour the letter strokes or stick glitternin strokes shapes,strokes formation,Lines and curves tracing,colour the letter strokes or stick glitternin strokes shapes,strokes formation,Colours, picture of rainbow,Students will identifly rainbow colours,
,4,Lines and curves tracing,colour the letter strokes or stick glitternin strokes shapes,strokes formation,Lines and curves tracing,colour the letter strokes or stick glitternin strokes shapes,strokes formation,Lines and curves tracing,colour the letter strokes or stick glitternin strokes shapes,strokes formation,Myself,"Begin by talking about each child. Ask questions like ""What is your name?"" and ""How old are you?"" ",Students will develop a basic understanding of themselves as unique individuals with distinct characteristics,
,5,Curves line,colour the letter strokes or stick glitternin strokes shapes,strokes formation,Curves line,colour the letter strokes or stick glitternin strokes shapes,strokes formation,Lines and curves tracing,colour the letter strokes or stick glitternin strokes shapes,strokes formation,Myself,"Begin by talking about each child. Ask questions like ""What is your name?"" and ""How old are you?"" ",Students will develop a basic understanding of themselves as unique individuals with distinct characteristics,
"MAY -2025 
(15 DAYS)",1,Slant line on dots,colour the letter strokes or stick glitternin strokes shapes,strokes formation,Lines and curves tracing,colour the letter strokes or stick glitternin strokes shapes,strokes formation,Lines and curves tracing,colour the letter strokes or stick glitternin strokes shapes,strokes formation,My body,To reinforce the identification of basic body parts through a fun and interactive game.,Students will be able to name and point to major body parts and explain their functions.,
,2,Practice of strokes,colour the letter strokes or stick glitter in strokes shapes,strokes formation,Lines and curves tracing,colour the letter strokes or stick glitternin strokes shapes,strokes formation,Lines and curves tracing,colour the letter strokes or stick glitternin strokes shapes,strokes formation,My family,Use puppets to enact a short story or scenario related to family life. This interactive activity .,"Nursery class children will recognize and name parents, siblings, and grandparents.",
,3,Summer vacation ,,,Summer vacation ,,,Summer vacation ,,,Summer vacation ,,,
,4,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
"JUNE-2025
 (15 DAYS)",1,,,,,,,,,,,,,
,2,,,,,,,,,,,,,
,3,,,,,,,,,,,,,
,4,"Letter Sounds,( Aa to Bb )read there own name","Show and Pronounce Display each picture to the children, one by one. Clearly pronounce the name of each item with the correct:","Recognion :Identify uppercase and lowercase ""Aa."" ""Bb""
Pronunciaon:Articulate the short /a/ sound of ""Aa""  ""Bb""correctly.
Wring:Forma on of the letter ""Aa"" ""Bb"" with proper strokes.
Associaon:Connect the letter ""Aa""  ""Bb""to the inial /a/ sound in words.
Vocabulary:Learn new words starng with ""Aa.""""Bb""",  swar,worksheet with video,Recognise the phonic sounds., ,"worksheet with video n,demonstrate with objects",Identify Big & Small objects,My family,Use puppets to enact a short story or scenario related to family life. This interactive activity .,"Nursery class children will recognize and name parents, siblings, and grandparents.",
,5,"Letter Sounds,( Cc to Dd )read there own name","Same way use a sand paper to trace the letter C,D.","Identify uppercase and lowercase ""Cc"" ""Dd""",  swar,worksheet with video,Recognise the phonic sounds.,Shapes,"worksheet with video n,demonstrate with different shapes",Identify Big & Small shapes,My family,Use puppets to enact a short story or scenario related to family life. This interactive activity .,"Nursery class children will recognize and name parents, siblings, and grandparents.",
"JULY 2025 
(27 DAYS)",1,Beginning sound,pronunciations,Student will be speak bignning sound ,Vyanjan,color the picture,Students will be able to reconise and write and identify all the akshar of vyanjan,"Colours around me,","worksheet with video n,demonstrate with different colours",Identify Big & Small objects,My family,Use puppets to enact a short story or scenario related to family life. This interactive activity .,"Nursery class children will recognize and name parents, siblings, and grandparents.", 
,2,"Letter Sounds, ( Ee to Ff)","Reinforcement of capital letterE,F its sound and related objects:","Formation of the letter ""Ee"" ""Ff"" with proper strokes.",Vyanjan,worksheet with video,Students will be able to reconise and write and identify all the akshar of vyanjan,Numbers 1 to 5,worksheet with video,Identify numbers,Flowers,   Flower craft,Identify and name at least two different types of flowers.,
