DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS I A II CADEMIC YEAR -2025-26,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HINDI,,,MATHEMATICS,,,EVS,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes
"APRIL-2025
(21 DAYS)",1,Bridge course,"Do small alphabet, vowel and consonants",students will able to revise their previous knowledge,पाठ- 1 मीना का परिवार। ,"भाषा का महत्त्व , पाठ वाचन",विद्यार्थी भाषा के महत्त्व को समझेंगे। आपसी प्रेम भाव बढ़ाना। ,Bridge course,"Do counting,what comes just after number?",students will able to revise their previous knowledge,ch-1/ABOUT ME,draw and colour picture of a boy and a girl ,to know more about yourself 
,2,Bridge course,"Do small alphabet, vowel and consonants",students will able to revise their previous knowledge,"व्याकरण पाठ 1 भाषा, मीना की परिवार",मौन रहकर इशारों से बात करके भाषा के महत्त्व को समझाना। सामूहिक अभिव्यक्ति। ,संकेतों की भाषा के बारे में जानेंगे। रिश्तो की मजबूत होना,Bridge course,"Do counting,put sign greater,less and equal ",students will able to revise their previous knowledge,ch-1/ABOUT ME,speak 5 lines on you,to know more about yourself 
,3,Unit 1 Chapter 1Two little hands ,"Poem with action ,learn names parts of the body",Students will able to learn poem with action,"पाठ- 2   दादा-दादी, पाठ 1 भाषा, ","जीव-जंतुओं की बोलियाँ बताने के लिए कोई कविता या ऑडियो सुनाना, ऑडियो वीडियो के साथ कविता",जीव-जंतुओं की बोलियों एवं विभिन्न आवाज़ों को समझ पाएँगे।,Chapter 1 finding the furry  cat! ( Pre -number concepts),,"understand the concept of more and less,",ch-1/ABOUT ME,learn phone number of your parents ,to know more about yourself  and express their feelings 
,4,Chapter 1Two little hands  ,"Poem with action ,talk in pair, gr - explanation of the topic and book exercises",Students will able to do conversations in pair,"व्याकरण पाठ 2 वर्ण/वर्णमाला, दादा- दादी","अक्षर पहचान, सामूहिक परिचर्चा","वर्णमाला की पहचान में वृद्धि, खादी वस्त्रों की जानकारी होना। ",Chapter 1 finding the furry  cat! ( Pre -number concepts),"Comparing, Comparing",Arranging numbers smallest to biggest ,ch-2 MY BODY,parts of body ,"importance of body,"
,5,"Chapter 1Two little hands,  Eng gr- ch-1The  Alphabets ","talk in pair, gr  - Write capital and small letters ","Students will able to do conversations in pair, gr - students will able to identify the small and capital letters",व्याकरण पाठ 2 वर्ण/वर्णमाला,"अक्षर पहचान, कहानी सुना और सुनाना। ","वर्णमाला की पहचान में वृद्धि, श्रवण कौशल का विकास। ",Chapter 2  What is long?What is round? (Shapes),ldentifing shapes,Students will be able to identify different types of shapes with the help of objects.,ch -2 MY BODY ,draw 4 sense organs ,function of body
"MAY -2025 
(15 DAYS)",1,"Chapter 2 Greetings , Eng gr Ch.2Naming words","Role play , gr - identify naming  words by giving some examples and book exercises","Understand the meaning and importance of  greeting in daily life, gr-  students  will  able to identify the nouns ","व्याकरण पाठ 3 मात्राएँ , पाठ- 3 रीना का दिन",मात्राओं का उच्चारण,मात्राओं का सही प्रयोग,Chapter 2  What is long?What is round? (Shapes),ldentifing shapes,Students will be able to identify different types of shapes with the help of objects.,ch-3 LOOKING AFTER MY BODY ,take care of your health ,take care of body
,2,"Chapter 2 Greetings ,Hop a little",sing poem with action,Students will be able to sing poem with action,"व्याकरण पाठ 3 मात्राएँ , व्याकरण पाठ 4 शब्द,रीना का दिन, छात्र अपनी दिनचर्या के विषय में बताएंगे। ",मात्राओं का उच्चारण,"मात्राओं का सही प्रयोग, अच्छी आदतों का पालन करना सीखेंगे। ",Chapter 2  What is long?What is round? (Shapes),Properties of shapes,Students will be able to know properties of shapes,ch-3 LOOKING AFTER MY BODY ,"name of two exercises - walking, jogging ",take care of body
,3,Summer vacation ,Summer vacation ,,                           ग्रीष्मकालीन अवकाश,,,Summer vacation ,Summer vacation ,Summer vacation ,REVISION ,,
,4,Summer vacation ,Summer vacation ,,,,,Summer vacation ,Summer vacation ,Summer vacation ,Summer vacation ,,
,5,Summer vacation ,Summer vacation ,,,,,Summer vacation ,Summer vacation ,Summer vacation ,Summer vacation ,,
"JUNE-2025
 (15 DAYS)",1,Summer vacation ,Summer vacation ,,,,,Summer vacation ,Summer vacation ,Summer vacation ,Summer vacation ,,
,2,Summer vacation ,Summer vacation ,,,,,Summer vacation ,Summer vacation ,Summer vacation ,Summer vacation ,,
,3,Summer vacation ,Summer vacation ,,,,,Summer vacation ,Summer vacation ,Summer vacation ,Summer vacation ,,
