DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS II ACADEMIC YEAR -2025-26,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HINDI,,,MATHEMATICS,,,EVS,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes
"APRIL-2025
(21 DAYS)",1,"reader- unit 1 fun with friends, ch 1- My Bicycle ","explanation, book exercises ",students will be able to enhance their reading and writing skills ,पाठ-1 नीमा की दादी,कहानी कथन,बुजुर्गों के प्रति आदर सम्मान की भावना,Bridge course,do addition and subtraction,students will able to revise their previous knowledge,ch-1/ABOUT ME,draw and colour picture of a boy and a girl ,to know more about yourself 
,2,grammar - ch-1 sentences , explain definition and book exercises,Students will be able to learn the definition and rearrange the sentences properly ,पाठ-1 नीमा की दादी,चित्र बनाना,घर के सदस्यों की सहायता करना,Bridge course,do multiplication,students will able to revise their previous knowledge,ch-1/ABOUT ME,speak 5 lines on you,to know more about yourself 
,3,Grammar Chapter 2-question  and statements ," explanation of definition, book exercises ",Students will be able to recognise the statement and questions and their punctuation marks,पाठ- 1 भाषा,विचार अभिव्यक्ति,भाषा कौशल में वृद्धि,Chapter -1 A Day at the Beach,recognise and right numbers,students will able to count objects accurately and right numbers,ch-1 ABOUT ME ,learn phone number of your parents ,to know more about yourself  and express their feelings 
,4,Gr ch-3 common and proper noun ," explanation of definition, book exercises ",Students will be able to recognise the proper and common noun from our surroundings on the rules of capitalisation also,पाठ-2 घर,चित्र बनाकर रंग भरना,घर के प्रति अपनी जिम्मेदारी,Chapter -1 A Day at the Beach,counting in groups,students will able to how the groups of 10 are made,ch-2 HUMAN BODY ,External organs,"importance of body,"
,5,gr- ch-4 singular and plural Nouns ,"explanation , book exercises. ",Students will be able to learn the rules of making plurals,पाठ- 2 वर्ण वर्णमाला एवं वर्ण के भेद,अक्षर पहचान,वर्णमाला की पहचान में वृद्धि,Chapter -1 A Day at the Beach,concept of tense and ones,connection between the grouping of 10 and place value,ch-2 HUMAN BODY ,internal organs ,function of body
"MAY -2025 
(15 DAYS)",1,gr- ch-4 singular and plural Nouns ,"explanation , book exercises. ",Students will be able to learn the rules of making plurals,पाठ- 3 माला की चांदी की पायल,पाठ का वाचन करना। ,अपनी वस्तु  का रखरखाव,chapter -2 shapes around us,identify 2D and 3D shapes,students will able to observe things around them and find connection to the basic 3D shapes,ch-3 MY WONDERFUL FAMILy,role play,take care of family 
,2, Reader  Unit 1-ch-2 Out ! Out! and picture reading ,"Reading, explanation and question answer with exercises ",Students will enhance their reading skills and learn English new words  and will be able to answers after picture identification ,पाठ- 3 मात्राएं,मात्राओं का उच्चारण,मात्राओं का सही प्रयोग,chapter -2 shapes around us,draw 5 2D and 3D shapes,"know the number of faces, edges and corners in all 3D shapes ",ch-3 MY WONDERFUL FAMILy,write the name of your grand parents ,respect elders 
,3,revision of taught content ,taking test of given topic ,Students will be able to learn  given topics and ready for test,                           ग्रीष्मकालीन अवकाश,,,                                     REVISION ,,,REVISION ,,
,4,Summer Vacations ,Summer Vacations ,Summer Vacations ,,,,                                                                                                                               SUMMER VACATION  ,,,Summer vacation ,,
,5,Summer Vacations ,Summer Vacations ,Summer Vacations ,,,,,,,Summer vacation ,,
"JUNE-2025
 (15 DAYS)",1,Summer Vacations ,Summer Vacations ,Summer Vacations ,,,,,,,Summer vacation ,,
,2,Summer Vacations ,Summer Vacations ,Summer Vacations ,,,,,,,Summer vacation ,,
,3,Summer Vacations ,Summer Vacations ,Summer Vacations ,,,,,,,Summer vacation ,,
,4,gr: ch-5 He and she,Explanation and exercises in class ,Students will  be able to recognise male and female groups,पाठ-4 माँ,चित्र बनाना,मां के प्रति सहानुभूति,chapter -3 fun with numbers,backward and forward counting up to 100,form the greatest and smallest two digit numbers with or without repetition of given digits,ch -4 WE NEED FOOD,different types of food,IMPORTANCE of food
,5,"gr - ch 6- Describing words, ch:7-A, An The","explanation of definition, book exercises ",Students will be able to learn the describing words and the correct use of articles in the sentences,पाठ- 4   शब्द और वाक्य,शब्द वाचन व लेखन,शब्द भंडार में वृद्धि,chapter -3 fun with numbers,making own numbers using number card,students will be able to solve simple daily life situations based on addition and subtraction of two digit numbers,ch -4 WE NEED FOOD,picture of balanced diet ,balanced diet 
"JULY 2025 
(27 DAYS)",1,Unit 2- ch1- welcome to my world and picture reading ,explanation of poem book exercises  and picture reading ,"students will be able to enhance their reading skills, learn new words and able to answers the questions after picture identification ",पाठ-5 थाथू और मैं,छात्रों को कहानी सुनाना व प्रश्न पूछना। ,जानवरों के प्रति लगाव,chapter -4 shadow story,identify how shadows are formed,"students will be able to identifye 2D and 3D shapes such as cube, cuboid, cylinder ",ch-5 CLOTHES WE WEAR,different types of dress,choose clothes according to season 
,2,"Chapter 8- Pronoun , reader  Unit 2:  ch2 -  Seeing without seeing ",Explanation and exercises in class ,Students will learn the different types of pronouns with example  and its uses and they will also learn the challenges faced by the differently abled and realise their Misfortune , पाठ- 5 संज्ञा,नाम को परिभाषित करना,संज्ञा की परिभाषा और अर्थ समझेंगे,chapter -4 shadow story,recognise 2D and 3D shapes based on theeir basic characteristic,students will be able to describe basic 2D and 3D shapes with their observable characteristic,ch-5 CLOTHES WE WEAR,traditional dress,choose dress according to occasion 
,3,Ch- 9 Doing words,Explanation and exercises in class ,Students will learn different uses of verbs with example  and learn some action words also,पाठ-6 चींटी,पाठ का कर बताना,जीवो के प्रति दया,chapter -5 playing with lines,"draw different type of lines as slanting, sleeping and standing lines",students will be able to draw and represent straight line in various orientation such as sleeping standing slanting lines,ch-6 WE NEED SHELTER ,draw the picture of house,keep your house neat and clean 
