DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS UKG II ACADEMIC YEAR -2025-26,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HINDI,,,MATHEMATICS,,,EVS,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes
"APRIL-2025
(21 DAYS)",1,"Ch-1 Alphabetical order, Poem1 You are Special",Tell beginning sound of the given picture ,Students will be able to identify the concept of alphabetical order and its importance in organizing information ,"स्वर , व्यंजन (वर्कबुक)",बोलकर स्वर व्यंजन लिखेंगे ।,पढ़ना लिखना पहचान करना सीखेंगे ।,Ch1 Shapes 2D,draw and identify ,Students will be able to identify and name basic 2D shapes,Ch-1 Myself ,introduce myself,speak self introduction
,2,Ch-1 Alphabetical order,Arrange in alphabetical order,Students will be able to recognise the sequence of letters in English alphabet,"पाठ- 1 दो वर्ण के शब्द , वाक्य [कविता -1 अच्छे बच्चे] ",चित्र देखकर उनके नाम लिखेंगे वह रंग भरना ।,शब्दों का सही उच्चारण करना ।,Ch2 Shapes 3D,draw and identify ,Students will be able to identify and name basic 3D shapes,Ch-1 Myself ,introduce myself,"express their personal likes, dislike, and interested confidently"
,3,"Ch-2 Vowels, Poem2 Head Shoulder Knees and Toes",sing vowel song,Students will be able to identify vowel sounds.,"पाठ- 2 तीन वर्ण के शब्द ,वाक्य [ कविता -2 शरीर के अंग]",समान शब्द का मिलान करना,शब्दों का सही उच्चारण करना,"Ch3 Numbers 1 to 20, Ch4 Let us Practice 1 to 20",missing numbers,Students will be able to identify and recognize numbers in various contexts.,Ch-2 My body , will tell the names of body parts through poem.,students will be able to name and point to major body parts and explain their functions
,4,Ch-3 Short Vowel-/a/,petals sound words,Students will be able to recognize and differentiate between words that contain the short vowel /a/ sound and those that do not.,"पाठ- 3 चार वर्ण के शब्द , वाक्य  [वर्कबुक बिना मात्रा वाले शब्द एवं वाक्य]",चित्र का  शब्द से मिलान करना ।,"शब्दों का सही उच्चारण बोलना पढ़ना, लिखना ।",Ch5 Smallest and Biggest Numbers,circle the smallest and biggest fruit , Students will be able to recognize and differentiate between small and big numbers.,Ch-2 My body , will tell the names of body parts through poem.,students will demonstrate understanding of basic personal hygiene practice and healthy food choice
,5,"Ch-3 Short Vowel-/a/, Poem-3 Put Your Hands Way Up",missing letters ,Students will be able to practice pronouncing words with the short vowel 'a' sound accurately and clearly. , पाठ-4 'आ' की मात्रा  (कविता 3 अंगुली खेल),चित्र बनाकर नाम लिखना रंग भरना ।,शब्दों को पढ़ने लिखने में सक्षम होंगे,Ch6 Ascending and Descending Order 1 to 20,Write numbers in an ice-cream.,Students will be able to identify and arrange numbers from 1 to 20 in increasing and decreasing order.,Ch-3 My family ,family frame making activity ,family connection
"MAY -2025 
(15 DAYS)",1,Ch-4 Short Vowel-/e/,circle the correct picture ,Students will be able to demonstrate the ability to decide and read simple words containing the short 'e' sound., पाठ-4 'आ' की मात्रा  (कविता 3 अंगुली खेल),समान शब्द का मिलान करना,आ' की मात्रा का सही उपयोग करना ।,"Ch7 Numbers 21 to 50, Ch8 Let Us Practice 21 to 30",Count and tick,Students will be able to count orally numbers accurately and sequentially.,Ch-3 My family ,family frame making activity ,emotional expression
,2,"Ch-4 Short Vowel-/e/, Poem-4 Counting Senses",reciting poem,Students will be able to apply knowledge of the short vowel 'e' sound to identify rhyming words and word families.,पाठ-5 'इ' की मात्रा  कविता -4 मेरा परिवार,चित्र का शब्द से मिलान करना ।,शब्दों की पहचान ।,"Ch9 Backward Counting 30 to 0, Ch10 Before, After and Between 0 to 30",Hopscotch Game,"Students will be able to develop the ability to count backward with accuracy and understanding of the concept of before, after and Between.",Ch-4 Friends ,introduction with your friend,they will improved communication skills 
,3,Summer Break ,Summer Break ,Summer Break ,Summer vacation ,Summer vacation ,Summer vacation ,Summer Break ,Summer Break ,Summer Break ,Summer vacation ,Summer vacation ,Summer vacation 
,4,Summer vacation ,Summer Break ,Summer Break ,Summer vacation ,Summer vacation ,Summer vacation ,Summer Break ,Summer Break ,Summer Break ,Summer vacation ,Summer vacation ,Summer vacation 
,5,Summer vacation ,Summer Break ,Summer Break ,Summer vacation ,Summer vacation ,Summer vacation ,Summer Break ,Summer Break ,Summer Break ,Summer vacation ,Summer vacation ,Summer vacation 
"JUNE-2025
 (15 DAYS)",1,Summer vacation ,Summer Break ,Summer Break ,Summer vacation ,Summer vacation ,Summer vacation ,Summer Break ,Summer Break ,Summer Break ,Summer vacation ,Summer vacation ,Summer vacation 
,2,Summer vacation ,Summer Break ,Summer Break ,Summer vacation ,Summer vacation ,Summer vacation ,Summer Break ,Summer Break ,Summer Break ,Summer vacation ,Summer vacation ,Summer vacation 
,3,Summer vacation ,Summer Break ,Summer Break ,Summer vacation ,Summer vacation ,Summer vacation ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break ,Summer Break 
,4,"Ch-5 Short Vowel-/i/, Poem-5 Mummy is Special",circle the correct word ,"Students will be able to participate in activities, songs or games that emphasize the short 'i' sound l, fostering auditory discrimination.",दोहरान कार्य,"पढना ,लिखना ,रंग भरना", मात्रा की पहचान  में सक्षम |,"Ch11 Ascending and Descending Order 21 to 30, Ch12 Numbers 31 to 40",Steps on Stairs,Students will be able to recognize pattern in number sequences in both ascending and descending order,Ch-4 Friends ,introduction with your friend,express an awareness of the environment
