DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS VII ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HINDI,,,MATHEMATICS,,,SCIENCE,,,SOCIAL SCIENCE,,,SANSKRIT,,,COMPUTER ,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes
"APRIL-2025
(21 DAYS)",1,Ch-1 - Three Questions  ,Role play of characters ,The students will be able to know about the importance of right action at the right time.,भाषा और व्याकरण ,भेदों का चित्र सहित वर्णन  करना,विद्यार्थी भाषा की परिभाषा को उदाहरण सहित  समझने  मे  सक्षम  होंगे ,Ch. 1 Integers,Practice sums from text book and extra marks study material.,Will know different properties of integers and can solve sums related to Integers.,Ch 1 Nutrition in plants,"Explanation, discussion, videos and showing images, group activity, real life examples",Understands the process of photosynthesis and nutrient modes in plants.Differentiates between autotrophic and heterotrophic nutrition.,Ch-1 Tracing changes through a Thousand years (His.),"EXPLAIN,DISCUSSION,PROBLEM SOLVING,",The students will be able to tell about thousand years history means from 700AD to 1750AD),प्रथम: पाठ:-सुभाषितानि,समूहे पाठनाभ्यास:,स्वरसमवेत वाचनं पाठार्थ पठनं अभ्यास करणं च।,Ch 1 computer network,Lab Activity - MS PowerPoint 2016,Students will able to tell network and networking 
,2,Ch-2 A Gift of Chappals,Discuss the moral lessons ,The students will be able to know that how simple actions reflect values and upbringing.,पाठ  -1      हम पंछी उन्मुक्त गगन के ,कविता का सस्वर वाचन करना,स्वतंत्रता की भावना का ज्ञान,Ch. 1 Integers,Practice sums from text book and extra marks study material.,Will know different properties of integers and can solve sums related to Integers.,Ch 1 Nutrition in plants,"Explanation, discussion, videos and showing images, group activity, real life examples",Understands the process of photosynthesis and nutrient modes in plants.Differentiates between autotrophic and heterotrophic nutrition.,Ch-1 On Equality (Civics),"Role play,Group Discussion,", Find out about one government scheme in your area. What does this scheme do? Whom is this scheme set up to benefit?,द्वितीय पाठ:-दुर्बुद्धि: विनाशति,कक्षाभ्यास:,दुर्बुद्धि: विनाशतिविषये ज्ञास्यंतीति,Ch 1 computer network,Lab Activity - MS PowerPoint 2016,Students will able to know components of networking
,3,"Grammar Ch-1 Sentences , Poem- The Rebel",Practice exercises for sentence identification ,They will be able to construct grammatically correct sentences,पाठ  -  2    हिमालय की बेटियाँ ,निबंध लेखन,"प्रकृति का महत्व , नदियों की पवित्रता के महत्व को समझने में सक्षम होंगे",Ch. 2 Fractions and Decimals,Practice sums from text book and extra marks study material.,Will know about different types of fractions and will be able to solve sums related to fractions and decimal.,Ch 1 Nutrition in plants,"Explanation, discussion, videos and showing images, group activity, real life examples",Understands the process of photosynthesis and nutrient modes in plants.Differentiates between autotrophic and heterotrophic nutrition.,Ch-1 Environment (Geo.),"EXPLAIN,DISCUSSION,PROBLEM SOLVING,","The students will be able to understand and tell about environment (natural,human made and human)",संस्कृत वर्णमाला,कक्षाभ्यास:,शुद्ध अशुद्ध- विषये ज्ञास्यंतीति,Ch 1 computer network,Lab Activity - MS PowerPoint 2016,Students will able to know network topologies
,4,"Grammar Ch-2 Subject and Predicate, Poem-The shed",Practice exercises for subject and predicate matching ,They will be able to define and identify the subject and predicate in the sentences ,वर्ण विचार ,वर्ण पहचान पर चर्चा,विद्यार्थी वर्णों के भेदो को उदाहरण सहित समझने  मे  सक्षम  होंगे ,Ch. 2 Fractions and Decimals,Practice sums from text book and extra marks study material.,Will know about different types of fractions and will be able to solve sums related to fractions and decimal.,Ch 2 Nutrition in animals,"Explanation, discussion, videos and showing images, group activity, real life examples",Describes the digestive system in humans and digestion in ruminants. Explains how different organs help in digestion.,Ch-2 New Kings & Kingdoms (His.),Debate and Group Discussion,The students will be able to understand and tell about Kings and their Kingdoms ,तृतीय पाठ:-स्वावलंबनम्,लेखन कार्यम्,स्वावलंबनम् विषये बोधनम,Ch 1 computer network,Lab Activity - MS PowerPoint 2016,Students will able to know Types of network
,5,Grammar -Ch-3 Kinds of Nouns,Practice exercises for classification of nouns,They will be able to learn  characteristic of each type of noun,शब्द विचार,शब्द भेदो की पहचान ब्बताना,विद्यार्थी शब्द के भेदो को उदाहरण सहित  समझने मे  सक्षम  होंगे,Ch.3 Data Handling,Practice sums from text book and extra marks study material.,Will be able to solve sums related to given data. Can be able to represent data into bar graph.,Ch 2 Nutrition in animals,"Explanation, discussion, videos and showing images, group activity, real life examples",Describes the digestive system in humans and digestion in ruminants. Explains how different organs help in digestion.,Ch-2 New Kings & Kingdoms (His.),"EXPLAIN,DISCUSSION,PROBLEM SOLVING,",The students will be able to understand and tell about Kings and their Kingdoms ,धातु रुपाणि,कक्षाभ्यास:,शुद्ध अशुद्ध- विषये ज्ञास्यंतीति,Ch 1 computer network,Lab Activity - MS Word 2016,Students will able to tell characteristics of computers
"MAY -2025 
(15 DAYS)",1,"Ch-1The Tiny Teacher, Poem- Chivvy",Role play ,The students will be able to know about the disciplined and hardworking life of ants.,संवाद लेखन,संवाद के नियमों को करवाना,संवाद लेखन के नियमों को  समझने मे  सक्षम  होंगे   में  सक्षम होंगे ,Ch.3 Data Handling,Practice sums from text book and extra marks study material.,Will be able to solve sums related to given data. Can be able to represent data into bar graph.,Ch 2 Nutrition in animals,"Explanation, discussion, videos and showing images, group activity, real life examples",Describes the digestive system in humans and digestion in ruminants. Explains how different organs help in digestion.,Ch-2 Inside Our Earth (Geo.),"EXPLAIN,DISCUSSION,PROBLEM SOLVING,","The students will be able to understand and tell about  Crust,Mantle and core ",संख्या ज्ञानम,लेखन कार्यम्,शुद्ध अशुद्ध- विषये ज्ञास्यंतीति,Ch2  Number system,Lab Activity - MS Word 2016,Students will able to know need of number system
,2,Grammar -Ch-4Nouns: Number ,Singular Plural Matching ,They will be able to apply the correct number of nouns in spoken and written sentences,पाठ   -  3    कठपुतली,नाट्य प्रदर्शन,सांस्कृतिक ज्ञान,Ch.3 Data Handling,Practice sums from text book and extra marks study material.,Will be able to solve sums related to given data. Can be able to represent data into bar graph.,Ch 2 Nutrition in animals,"Explanation, discussion, videos and showing images, group activity, real life examples",Describes the digestive system in humans and digestion in ruminants. Explains how different organs help in digestion.,Ch-2 Inside Our Earth (Geo.),"EXPLAIN,DISCUSSION,PROBLEM SOLVING,","The students will be able to understand and tell about  Crust,Mantle and core ",चतुर्थ पाठ:-पण्डिता रमाबाई गीता श्लोका:,पाठनाभ्यास:, विकसित मानसिकताया: विकास:,Ch2  Number system,Lab Activity - MS Word 2016,Students will able to define types of number system
,3,SUMMER VACATION ,SUMMER VACATION ,SUMMER VACATION ,ग्रीष्मकालीन  अवकाश,,,SUMMER VACATION ,,,SUMMER VACATION ,SUMMER VACATION ,SUMMER VACATION ,Summer Vacation ,,,ग्रीष्मकालीन अवकाश ,,,Summer vacation ,,
