DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS VIII ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HINDI,,,MATHEMATICS,,,SCIENCE,,,SOCIAL SCIENCE,,,SANSKRIT,,,COMPUTER ,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes
"APRIL-2025
(21 DAYS)",1,Chapter 1: The Best Christmas Present in the World,"Reading, Explanation & Discussion",-will understand plot and characters of the story.  - will realise views of soldiers regarding war and peace and realise true meaning of life.,लाख की चूड़ियाँ ,कहानी लेखन ,वस्तु विनिमय का ज्ञान ,Ch. 1 Rational Numbers,Practice sums from text book and extra marks study material.,Will know about different properties of rational numbers.,CROP PRODUCTION AND MANAGEMENT,SUB-ENRICHMENT ACTIVITIES + EXPLANATION,TO GET AWARE OF AGRICUTURA L PRACTICES,"(History) Ch-1 How, When and Where",MAP MAKING AND FILLING/PUZZLE,"Able to understand the importance of Dates, Appraise the administrative records as an important source of history.","izFke% ikB%&lqqHkkf""krkfu ]xhrksins'k%",lLojleosrokpua]IkkBkFkZ%] Nk=S% iBua ]vH;kldk;ZZZa pA,"lqlaLdkjk.kka chtkjksi.ksu lg fodflrekulfdrk;k% fodklks Hkfo"";frA",Ch 1 computer network,Lab Activity - MS PowerPoint 2016,Students will able to tell network and networking 
,2,Poem: The Ant and the Cricket,"Reading, Explanation & Discussion",- will understand harms of laziness and develop healthy habits to finish day to day work regularly.,बस की यात्रा ,अनुच्छेद लेखन ,लेखन कला का विकास ,Ch. 1 Rational Numbers,Practice sums from text book and extra marks study material.,Will know about different properties of rational numbers.,CROP PRODUCTION AND MANAGEMENT,ASK THEM FOR A FIELD TRIP TO ENSURE THE STEPS OF AGRICULTURAL PRACTICES,TO GET AWARE OF AGRICUTURA L PRACTICES,(Civics) Ch-1 The Indian Constitution,GROUP DISCUSSION/FLOW CHART/CROSSWORD PUZZLE,Able to understand the 'Rule of law' & 'Indian Constitution'.,dkjde~ ]xhrksins'k%,d{kk;ka dkjdk.kka foHkfDrlfgroks/kufefrA,"vussu lE;d~ foHkfDrKkuo/kZusu lg 'kqHkk'kqHkL; lUnHksZ leL;klek/kkua Hkfo"";frA",Ch 1 computer network,Lab Activity - MS PowerPoint 2016,Students will able to know components of networking
,3,Chapter 1: How the Camel Got His Hump,"Reading, Explanation & Discussion",- will be able to understand harmful consequences of being idle and lazy. - will understand benefits of staying active and laborious in life.,संवाद लेखन  ,संवाद  लेखन ,व्याकरण ज्ञान ,Ch. 1 Rational Numbers,Practice sums from text book and extra marks study material.,Will know about different properties of rational numbers.,MICRO ORGANISMS FRIEND AND FOE,SUBECT ENRICHMENT ACTIVITIES,"ABLE TO DISTINGUISH BETWEEN VIRUSE,BACTERIA,PROTOZOA BASED DISEASES",(Geo.) Ch-1 Resources,GROUP DISCUSSION/FLOW CHART/CROSSWORD PUZZLE,"Able to describe the natural resources & wildlife, Further they will be able to describe the causes of water scarcity & additionally they will be aware of the different practices to conserve the natural resources. ",f}rh;% ikB%&fcyL; ok.kh u dnkfi es Jqrk ]xhrksins'k%,vFkZZdj.ke~ ]vU;dFkklap;ua pA,"foosdsu Lothoua thforO;fefr U;k;dj.kL; Kkua of/kZ"";frA",Ch 1 computer network,Lab Activity - MS PowerPoint 2016,Students will able to tell network and networking 
,4,Determiners ,Explanation and Practice,- will understand difference between determines and adjectives. - will be to use determines correctly and effectively. ,प्रतिवेदन लेखन ,प्रतिवेदन,व्याकरण ज्ञान ,Ch. 2 Linear Equations in One Variables,Practice sums from text book and extra marks study material.,Will know about linear equations in one variable and be able to solve sums related to linear equations.,MICRO ORGANISMS FRIEND AND FOE,EXPLANATION OF VARIOUS TERMS,"ABLE TO DISTINGUISH BETWEEN VIRUSE,BACTERIA,PROTOZOA BASED DISEASES",(Geo.) Ch-1 Resources,MAP MAKING AND FILLING/PUZZLE,"Able to describe the natural resources & wildlife, Further they will be able to describe the causes of water scarcity & additionally they will be aware of the different practices to conserve the natural resources. ",f}rh;% ikB%&fcyL; ok.kh u dnkfi es Jqrk ]xhrksins'k%,d{kk;ka dkjdk.kka foHkfDrlfgroks/kufefrA,"foosdsu Lothoua thforO;fefr U;k;dj.kL; Kkua of/kZ"";frA",Ch 1 computer network,Lab Activity - MS PowerPoint 2016,Students will able to know Types of network
,5,Story Writing,Explanation and Practice,- will know different elements and parts of story. - will be able to describe past events properly and effectively.,शब्द भंडार,वर्ग पहेली ,व्याकरण ज्ञान ,Ch. 2 Linear Equations in One Variables,Practice sums from text book and extra marks study material.,Will know about linear equations in one variable and be able to solve sums related to linear equations.,MICRO ORGANISMS FRIEND AND FOE," ORAL TEST,MCQ,CONCEPT CLEARANCE TEST",able to understand the topics and concepts ,(History) Ch-2 From Trade To Territory ,GROUP ACTIVITY/DEBATE,Able to describe the events which led to the Supermacy of the British Empire. Also be able to understand various changes in rural life & systems followed during the British Era.,dkjde~ ]xhrksins'k%,d{kk;ka dkjdk.kka foHkfDrlfgroks/kufefrA,"vussu lE;d~ foHkfDrKkuo/kZusu lg 'kqHkk'kqHkL; lUnHksZ leL;klek/kkua Hkfo"";frA",Ch 1 computer network,Lab Activity - MS Word 2016,Students will able to tell characteristics of computers
"MAY -2025 
(15 DAYS)",1,Chapter 2: The Tsunami Chapter 2: Children at Work,"Reading, Explanation & Discussion",- will be familiar with disaster Tsunami and its destruction. - will understand inequality in society and conditions affecting lives of underprivileged children.,भाषा और व्याकरण ,चार्ट बनाना ,व्याकरण ज्ञान,Ch  3 Understanding Quadrilaterals,Practice sums from text book and extra marks study material.,Will know about different types of quadrilaterals and their properties.,MICRO ORGANISMS FRIEND AND FOE," ORAL TEST,MCQ,CONCEPT CLEARANCE TEST",able to understand the topics and concepts ,(History) Ch-2 From Trade To Territory ,GROUP ACTIVITY/DEBATE,Able to describe the events which led to the Supermacy of the British Empire. Also be able to understand various changes in rural life & systems followed during the British Era.,lafU/k% izdj.ke~ ]xhrksins'k%,d{kk;kalfU/kukaa foPNsn lfgroks/kufefrA,"vussu izdj.ksu lfU/kKkuo/kZusu lg 'kqHkk'kqHkL; lUnHksZ leL;klek/kkua Hkfo"";frA",Ch 2 HTML,Lab activity : creating web page,Students will able to define HTML 
,2,"Poem: Geography Lesson, Noun and Pronoun","Reading, Explanation, Discussion & Practice","- will understand content and themes of the poem and the message given by the the poet. - will be familiar with nouns, pronouns and its types. - will be able to use nouns and pronouns properly and effectively to form correct sentences.",वर्ण विचार ,नाट्यमंचन ,व्याकरण ज्ञान,Ch  3 Understanding Quadrilaterals,Practice sums from text book and extra marks study material.,Will know about different types of quadrilaterals and their properties.,MICRO ORGANISMS FRIEND AND FOE," ORAL TEST,MCQ,CONCEPT CLEARANCE TEST",able to understand the topics and concepts ,"(Geo) Ch-2 Land,Soil, Water,And Wildlife ",A PRESENTATION ON PHYSICAL FEATURES/MAP ACTIVITY,"Able to describe the natural resources & wildlife, Further they will be able to describe the causes of water scarcity & additionally they will be aware of the different practices to conserve the natural resources. ",lafU/k% izdj.ke~ ]xhrksins'k%,d{kk;kalfU/kukaa foPNsn lfgroks/kufefrA,"vussu izdj.ksu lfU/kKkuo/kZusu lg 'kqHkk'kqHkL; lUnHksZ leL;klek/kkua Hkfo"";frA",Ch 2 HTML,Lab activity : creating web page,Students will able to getting started with HTML
,3,Diary Entry,Explanation & Practice,- will be able to know the format and significance of diary writing.  - will be able to organise their ideas and thoughts on daily basis.,ग्रीष्मकालीन अवकाश ,,,SUMMER VACATION ,,,SUMMER VACATION,SUMMER VACATION,SUMMER VACATION,Summer Vacation ,,,lafU/k% izdj.ke~ ]xhrksins'k%,d{kk;kalfU/kukaa foPNsn lfgroks/kufefrA,"vussu izdj.ksu lfU/kKkuo/kZusu lg 'kqHkk'kqHkL; lUnHksZ leL;klek/kkua Hkfo"";frA",Summer vacation ,,
