DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS X ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,MATHEMATICS,,,HINDI,,,SCIENCE,,,SOCIAL SCIENCE,,,SANSKRIT,,,AI,,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,
"APRIL-2025
(21 DAYS)",1,LETTER TO GOD,EXPLANATION AND TRANSLATION ,"able to understand the theme,concepts, central idea i. e. faith, hope and trust ",Real Numbers,EXPLANATION AND PROBLEM SOLVING,Recalls properties of numbers and relations among them and hence evolve Fundamental Theorem of Arithmetic.,व्याकरण - अलंकार ,"अलंकार की परिभाषा, भेद और उदाहरण करवाना।",विद्यार्थी अलंकार को पहचान सकेंगे तथा बता सकेंगे।,ch-1 electricity ,explanation and numerical practice,able to explain about electric charges and ohms law, Power Sharing,"Map making, group discussion","Understand the political 
system in Sri Lanka and 
Belgium
 Express the necessary 
of power sharing",izFke% ikB%&'kqfpi;kZoj.ka ]LojlfU/k% xhrksins'k%¼vUrss fnols ifjp;ikBue~½,d{kk;ka ikBkockss/kusu lg y;}kjk iBukH;kl%A,"LoPNrk;k% lUnHksZ chtkjksi.ksu lg leL;klek/kkua Hkfo"";frA",Introduction to AI,Session: What is Intelligence?,Understand the concept of human intelligence and its components.,
,2,DUST OF SNOW,EXPLANATION AND TRANSLATION WITH PPT,"Interpret the central theme of the poem and explain how small, seemingly insignificant events can have a positive impact on one’s mood and perspective.

Analyze poetic devices such as symbolism, imagery, and tone used by Robert Frost to convey meaning.

",Polynomials,EXPLANATION AND PROBLEM SOLVING,Recognises the geometrical meaning of zeroes of a polynomial.,व्याकरण - पद परिचय ,"पद परिचय की परिभाषा , आवश्यक तत्व और उदाहरण करवाना।",विद्यार्थी पद परिचय को पहचान सकेंगे तथा उसको समझा सकेंगे।,Ch- Life Processes ,Explanation,The student will develop connection about the importance of topics to the real world.,.Development,MAP MAKING AND FILLING/PUZZLE,FAMILIARISATION OF SOME MACROECONOMIC COCEPTS.,f}rh;% ikB%& cf}oyorh lnk xhrksins'k% ¼vUrss fnols ifjp;ikBue~½,vFkZZdj.ke~ ]vU;dFkklap;ua pA,xqq.kL; d% ifj.kke% vusu uSfrdrkKkuao/kZua pA,Introduction to AI,Session: Decision Making; Activity: Make Your Choices!,Analyze decision-making processes and their relevance to AI.,
,3,"FIRE AND ICE, A TRIUMPH OF SURGERY",,"Dust of snow:Interpret the central theme of the poem – the idea that small events can bring about significant positive emotional change.

Identify and explain literary devices such as imagery, symbolism, and rhyme used in the poem. Summarize the plot and sequence of events in the story.
A triumph of surgery:
Analyze the characters, especially Dr. Herriot and Mrs. Pumphrey, and their roles in the narrative.

Understand the theme of overindulgence and responsible pet care.

",Pair of Linear Equations in Two Variables,EXPLANATION AND PROBLEM SOLVING,Find the solutions of a pair of linear equations in two variables graphically and algebraically.,व्याकरण - पद परिचय,"पद परिचय की परिभाषा , आवश्यक तत्व और उदाहरण करवाना।",विद्यार्थी पद परिचय को पहचान सकेंगे तथा उसको समझा सकेंगे।,Ch- Life Processes ,Explanation,The student will develop connection about the importance of topics to the real world.,Resource and Development,"FLOW CHART/ QUIZ/ CLASS TEST, MAP SKILLS",UNDERSTAND THE VALUE OF RESOURCE.,O;atulfU/k%]ijlo.kZ] vuqLokj%] t”kRoa] vuqukfld% p¼vUrss fnols ifjp;ikBue~½ xhrksins'k%,"ljykr~ dkfBU;a izfr ,oe~~ vU;ksnkgj.klaxzg.ka pA","lfU/klEcfU/knks""kk.kkeikdj.ka 'kq}ys[kua leL;klek/kkua pA",Basics of AI: Let’s Get Started,"Session: AI and related terminologies; Explore AI, ML & DL","Differentiate between AI, ML, and DL; understand AI domains.",
,4,"NELSON MANDELA, TIGER IN ZOO",,"Understand the historical background of South Africa's struggle against apartheid.

Explain the significance of Nelson Mandela’s contribution to freedom and equality.

Identify the values of courage, sacrifice, and resilience reflected in the text.

Enhance comprehension and inference skills through textual analysis.Compare the tiger’s life in the wild with its life in captivity.

Analyze the poem’s structure, rhyme scheme, and use of imagery and contrast.

Discuss the emotional tone and message of the poem regarding animal rights and freedom.",Triangles,EXPLANATION AND PROBLEM SOLVING,"Determine similarity of triangles using different criteria (AAA, SSS, SAS) and using them to solve problems.",पद्य खण्ड - सूरदास ,कठिन शब्दों के अर्थ करवाना और पदों का सरलार्थ व भावार्थ समझाना।,विद्यार्थी कठिन शब्दों के अर्थ बता सकेंगे तथा पदों का सरलार्थ बता सकेंगे।,Chemical reactions & Equations,explanation and demonstration,students will be able to know about chemical changes related to daily life,. Sector of the Indian Economy,VILLAGE VISIT/ MAP MAKING/ SOIL TESTING,TO MAKE AWARE OF A MAJOR EMPLOYMENT GENERATING SECTOR. ,folxZlfU/k%&mRoa] jRoa] ]lRoa p¼vUrss fnols okD;iz;ksxikBue~½xhrksins'k%,"ljykr~ dkfBU;a izfr ,oe~~ vU;ksnkgj.klaxzg.ka pA","lfU/klEcfU/knks""kk.kkeikdj.ka 'kq}ys[kua leL;klek/kkua pA",Basics of AI: Let’s Get Started,"Activity: Explore gamified tools like Impact Filter, Autodraw, Wordtune",Identify applications of AI in real life.,
,5,"LETTER, TENSE, MODALS",,,Quadratic Equations,EXPLANATION AND PROBLEM SOLVING,Solve the quadratic equation by different methods.,पद्य खण्ड - सूरदास ,पाठ्य पुस्तक के प्रश्नोत्तर करवाना।,विद्यार्थी पाठ्य पुस्तक के प्रश्नोत्तर बता सकेंगे।,Chemical reactions & Equations,explanation and video presentation ,Differentiate between different types of reactions ,-Federalism,MAP ACTIVITY,Analyse the policies and politics that has strengthened federalism in practice.,jpukReda&dk;e~Za] fp=k/kkfjrokD;kfu¼vUrss fnols okD;iz;ksxikBue~½xhrksins'k%,izznRrdk;kZuqlkjs.k O;fDrxr&izkstsDVfuekZ.ke~A,okD;fuekZ.ksu lg jpukRedrk rFkk /;kudssfUnzdj.ka pA,Applications of AI,Session: Real-life AI Implementations,Recognize various applications of AI across sectors.,
"MAY -2025 
(15 DAYS)",1,"TWO STORIES ABOUT FLYING, HOW TO TELL WILD ANIMALS",,"His First Flight

Understand the theme of overcoming fear and gaining confidence.

Analyze the young seagull’s journey from fear to courage.

Relate the story to real-life experiences of learning and growing.

The Black Aeroplane

Explore the mysterious and suspenseful elements of the narrative.

Discuss the themes of trust, guidance, and unexplained experiences. HOW TO TELL WILD ANIMALS Understand and appreciate the humorous and ironic tone of the poem.

Identify poetic devices such as rhyme, alliteration, and exaggeration.

Analyze how humor is used to describe dangerous animals.",Arithmetic Progression,EXPLANATION AND PROBLEM SOLVING,Apply formula and calculate the nth term of an AP and sum of n terms of an AP.,पद्य खण्ड - तुलसीदास ,"कवि परिचय, कविता परिचय और शब्दार्थ तथा कविता का अर्थ और भावार्थ करवाना।",विद्यार्थी कठिन शब्दों के अर्थ बता सकेंगे तथा पदों का सरलार्थ बता सकेंगे।,Ch- Control and Coordination ,Explanation,The student will develop connection about the importance of topics to the real world.,-The Rise of Nationalism in Europe,GROUP DISCUSSION,Evaluate the reasons which led to the First World War,r`rh;%ikB%&f'k'kqykyue~ ¼vUrss fnols dFkkdFkue~½xhrksins'k%,"ljykr~ dkfBU;a izfr ,oa vU;ksnkgj.klaxzg.ka pA",ckyL; ykyulUnHksZ Kkuo/kuZfefrAv'kqf}ukeikdj.ka 'kq}ys[kua leL;klek/kkua pA,Ethics in AI,Session: AI Ethics; Activity: Moral Machine,"Discuss ethical concerns in AI development, such as bias and data privacy.",
,2,"THE THIEF'S STORY, MIDNIGHT VISITOR",,"THE THIEF'S STORY Summarize the story and explain the development of the plot.

Analyze the character traits of the narrator (the thief) and Anil.

Understand themes such as trust, transformation, and the power of kindness.MID NIGHT VISITOR Understand the plot and suspense elements in the story.

Describe the characters of Ausable and Fowler, focusing on Ausable’s wit and intelligence.

Identify and appreciate the use of irony and clever problem-solving.",Arithmetic Progression,EXPLANATION AND PROBLEM SOLVING,,गद्य खण्ड - नेताजी का चश्मा ,"वाचन करना, भावार्थ समझाना और प्रश्नोत्तर करवाना।",विद्यार्थी भावार्थ तथा प्रश्नोत्तर बता सकेंगे।,ch-1 electricity ,explanation and numerical practice,"understand the electric energy ,power and heating effect of electric current",-The Rise of Nationalism in Europe,QUIZ,Infer how French Revolution had an impact on the European countries in the making of a nation state.,r`rh;%ikB%&f'k'kqykyue~ ¼vUrss fnols dFkkdFkue~½xhrksins'k%,"ljykr~ dkfBU;a izfr ,oa vU;ksnkgj.klaxzg.ka pA",ckyL; ykyulUnHksZ Kkuo/kuZfefrAv'kqf}ukeikdj.ka 'kq}ys[kua leL;klek/kkua pA,AI Project Cycle: Introduction,Session: Introduction to AI Project Cycle,Understand stages involved in the AI project cycle.,
