DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS XI-SCIENCE ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,PHYSICS ,,,CHEMISTRY ,,,MATHEMATICS,,,BIOLOGY ,,,INFORMATICS PRACTICES,,,PHYSICAL EDUCATION ,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes
"APRIL-2025
(21 DAYS)",1,Ch.1 the Portrait of a Lady(Hornbill),"Reading, Explanation & Discussion","-	will be able to develop an independent attitude in thought and action.
-	Bond of love and care with grand parents.
",ch-1 units and dimensions,explanation and  derivation,able to understand the dimensional formula,Ch-1 Some basic concepts of Chemistry,Explanation and demonstration ,Differentiate between different form of matter ,Sets,"EXPLANATION, PROBLEM SOLVING,FORMULATION AND DEMONSTRATION",identify different types of sets,,,,Introduction  Of IP,Role and importance/ Application areas of CS in future,Students will understand the importance and future with this subject,Changing trends and career in physical education,Concept aims and objective of physical education,Students learn about changing trends in physical education
,2,Ch.2 We are not afraid to die(Hornbill),"Reading, Explanation & Discussion",- will understand adventure & risk of sea journey,ch-1 units and dimensions,explanation and numerical practice,able to check the correctness of dimensioal formula,Ch-1 Some basic concepts of Chemistry,Explanation and calculation ,"Use different units of concentration: mole fraction, molarity, & mass percent",Sets,"EXPLANATION, PROBLEM SOLVING,FORMULATION AND DEMONSTRATION","venn dig,identities, problem learning",The living world,Explanation ,Students will understand the importance and develop/ connect the significance of this topic in real world.,Introduction  Of IP,Role and importance/ Application areas of CS in future,Students will understand the importance and future with this subject,Changing trends and career in physical education,Development of physical education in India post independenc,Identify the post independence development in physical education
,3,Ch1. The summer of the beautiful horse(snapshots),"Reading, Explanation & Discussion","-importance of honesty, trust and family prestige - armenian culture and life",ch-1 units and dimensions,explanation and  derivation,derive the physical quantity ,Ch-1 Some basic concepts of Chemistry,Explanation and discussion ,Uderstand the different types of mixtures used in daily life ,,"EXPLANATION, PROBLEM SOLVING,FORMULATION AND DEMONSTRATION",,The living world,Explanation,Students will understand the importance and develop/ connect the significance of this topic in real world.,Introduction of SQL ,DBMS and RDBMS,Students will understand the use of SQL in DBMS,Changing trends and career in physical education,changing trades in sports playing surface variable gears and sports equipment technology advancements.,categorised changing trades in sports playing surface variable gears sports equipment and technology
,4,Poem 1: A Photograph,"Reading, Explanation & Discussion",- will know loss and memories and its value  - will accept the unavoidable situaton in life,ch-1 units and dimensions,explanation and numerical practice,understand the relation between different quantities,Ch-1 Some basic concepts of Chemistry,Explanation and calculation ,Define standard units of measurements ,Relations & Functions,"EXPLANATION, PROBLEM SOLVING,FORMULATION AND DEMONSTRATION","cartesian product, relation, function",The living world,Explanation,Students will understand the importance and develop/ connect the significance of this topic in real world.,SQL Basics,Session: Introduction to databases and SQL,Understand database concepts and SQL syntax.,Changing trends and career in physical education,career option in physical education,explore different carrier option in physical education
,5,Reordering of Sentences,Explanation & Practice,- will be able to identify the different types of sentences - will be able to form correct sentences to fulfill their needs,ch-2 motion in a straight line ,explanation and  derivation,explain about refrence point and introduction of motion,Ch-1 Some basic concepts of Chemistry,Explanation and demonstration ,Derive & apply mole concept ,Trigonometr ic Functions,"EXPLANATION, PROBLEM SOLVING,FORMULATION AND DEMONSTRATION",angle degree to radian,The living world ,Explanation,Students will understand the importance and develop/ connect the significance of this topic in real world.,SQL Queries,"Session: SELECT, INSERT, UPDATE, DELETE statements",Retrieve and manipulate data in databases.,Changing trends and career in physical education,khelo India program and fit India program,make out the development of khelo India in fit India program
"MAY -2025 
(15 DAYS)",1,Ch3: Discovering Tut: The saga continues(Hornbill),"Reading, Explanation & Discussion","- wiil be familiar with Egyptian life, culture and technology - With know the life and history of King Tut",ch-2 motion in a straight line ,explanation and numerical practice,"understand the concept of speed, velocity and acceleration",Ch-1 Some basic concepts of Chemistry,Explanation and discussion ,Understand the atomic and molecular masses.,Trigonometr ic Functions,"EXPLANATION, PROBLEM SOLVING,FORMULATION AND DEMONSTRATION","identities,quadrants,general equtations",Biological classification ,Explanation,Students will understand the importance and develop/ connect the significance of this topic in real world.,SQL Queries,"Session: SELECT, INSERT, UPDATE, DELETE statements",Retrieve and manipulate data in databases.,Olympic value education,olympism concept and Olympics value excellence friendship and respect,Incorprate value of olympism in our life
,2,Tenses- References,Explanation & Practice,-will be able to understand different types of Tenses - will use tense in day to day life to express views and thoughts effectively and fulfill language skills,ch-2 motion in a straight line ,explanation and  derivation,derive the three equation of motion by calculus method,Ch-2 Structure of atom,Explanation with video ,Define properties of sub atomic particles ,Trigonometr ic Functions,"EXPLANATION, PROBLEM SOLVING,FORMULATION AND DEMONSTRATION",diff. problems related to angles,Biological classification,Explanation,Students will understand the importance and develop/ connect the significance of this topic in real world.,SQL Queries,Fetching data from database using various condition ,Retrieve and manipulate data in databases.,Olympic value education,ancient and modern Olympics,differentiate between modern and ancient Olympic games paralympics and special Olympics games
,3,Tenses - Indetification,Explanation & Practice,- will identify tenses and will be able to use tenses correctly,ch-2 motion in a straight line ,explanation and numerical practice,graphical method for equation of motion,Ch-2 Structure of atom,Explanation and demonstration ,Identify properties of subatomic particles ,Complex Numbers ,"EXPLANATION, PROBLEM SOLVING,FORMULATION AND DEMONSTRATION",intro about complec no.,Biological classification,Explanation,Students will understand the importance and develop/ connect the significance of this topic in real world.,SQL Queries,Fetching data from database using various condition ,Retrieve and manipulate data in databases.,Olympic value education,Olympic symbols Moto and anthem,describe the structure of Olympics movement structure
