DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS XI-COMMERCE ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,MATHEMATICS,,,ECONOMICS ,,,ACCOUNTANCY ,,,BUSINESS STUDIES,,,ENTREPRENEURSHIP,,,INFORMATICS PRACTICES,,,PHYSICAL EDUCATION ,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes
"APRIL-2025
(21 DAYS)",1,Ch.1 the Portrait of a Lady(Hornbill),"Reading, Explanation & Discussion","-	will be able to develop an independent attitude in thought and action.
-	Bond of love and care with grand parents.
",,,,,,,"Introduction to Accounting: •	Meaning, Objective, advantages, limitations of accounting
•	Types of accounting information
•	Users of accounting information and their needs
•	Basic accounting terms
",Lecture and  Demonstration,"Students will be able to understand financial transactions, change in the position of business status as a result of transaction * Uses, Advantages and limitations of transactions * Different accounting terms used while doing accounting process.","Ch 1 : History of Trade and Commerce in India:
  Indigenous Banking System, Rise of Intermediaries,
  Transport, Trading Communities: Merchant
  Corporations, Major Trade Centers, Major Imports
  and Exports, Position of Indian Sub-Continent in the
  World Economy.","Explanation , Discussion, Reading",Students will be able to understand the concept and  history business. They will also understand diff. mode of transaction.,Unit 1 Entrepreneurship: Concept and Functions,Explanation and discussion,"Meaning of Entrepreneurship, Entrepreneur & Enterprise",Introduction  Of IP,Role and importance/ Application areas of CS in future,Students will understand the importance and future with this subject,,,
,2,Ch.2 We are not afraid to die(Hornbill),"Reading, Explanation & Discussion",- will understand adventure & risk of sea journey,,,,,,,To be continued from past week,Lecture and  Demonstration,,"Ch 1 : Business – meaning and characteristics, Business, profession and employment-Concept, Objectives of business
  Classification of business activities - Industry and
  Commerce, Industry-types: primary, secondary, tertiary Meaning
  and subgroups
  Business risk-Concept","Explanation , Discussion, Reading","Understand the concept of business,
  profession and employment.
  Understand the broad categories of business
  activities- industry and commerce",Unit 1 Entrepreneurship: Concept and Functions,Explanation and discussion,Entrepreneurship: Functions and Need,Introduction  Of IP,Role and importance/ Application areas of CS in future,Students will understand the importance and future with this subject,,,
,3,Ch1. The summer of the beautiful horse(snapshots),"Reading, Explanation & Discussion","-importance of honesty, trust and family prestige - armenian culture and life",,,,,,,"Recording of transactions:  Accounting Process- Identifyting-recording-classifying-summarising-analysing Accounting equationos,
•        Rules of Debit and Credit,
•        Books of original entries (Frmat and recording journal),
",Lecture and  Demonstration,Students will be able to undrstand and execute the recording of financila transaction in the primary books of account-Journal Proper,"Ch 1 Commerce-trade: (types-internal, external;
  wholesale and retail) and auxiliaries to trade;
  (banking, insurance, transportation, warehousing,
  communication, and advertising) – meaning","Explanation , Discussion, Reading",Understand the concept of internal trade and commerce,Unit 1 Entrepreneurship: Concept and Functions,Explanation and discussion,Myths about Entrepreneurship ,Introduction of SQL ,DBMS and RDBMS,Students will understand the use of SQL in DBMS,,,
,4,Poem 1: A Photograph,"Reading, Explanation & Discussion",- will know loss and memories and its value  - will accept the unavoidable situaton in life,,,,,,,To be continued from past week,Lecture and  Demonstration,Students will be able to undrstand and execute the recording of financila transaction in the primary books of account-Journal Proper,"Ch 2 : Sole Proprietorship-Concept, merits and limitations.","Explanation , Discussion, Reading","List the different forms of business
  organizations and understand their meaning.
  ● Identify and explain the concept, merits and
  limitations of Sole Proprietorship.",Unit 1 Entrepreneurship: Concept and Functions,Explanation and discussion,Advantages and Limitations of Entrepreneurship ,SQL Basics,Session: Introduction to databases and SQL,Understand database concepts and SQL syntax.,,,
,5,Reordering of Sentences,Explanation & Practice,- will be able to identify the different types of sentences - will be able to form correct sentences to fulfill their needs,,,,,,,To be continued from past week,Lecture and  Demonstration,Students will be able to undrstand and execute the recording of financila transaction in the primary books of account-Journal Proper,"Ch 2 :Partnership-Concept, types, merits and limitation of
  partnership, registration of a partnership firm,
  partnership deed. Types of partners","Explanation , Discussion, Reading","List the different forms of business
  organizations and understand their meaning.
  ● Identify and explain the concept, merits and
  limitations of Sole Proprietorship.",Unit 1 Entrepreneurship: Concept and Functions,Explanation and discussion,Process of Entrepreneurship ,SQL Queries,"Session: SELECT, INSERT, UPDATE, DELETE statements",Retrieve and manipulate data in databases.,,,
"MAY -2025 
(15 DAYS)",1,Ch3: Discovering Tut: The saga continues(Hornbill),"Reading, Explanation & Discussion","- wiil be familiar with Egyptian life, culture and technology - With know the life and history of King Tut",,,,,,,"Recording of transactions: (Continued from past month) •	Other subsidiary books: purchase, sales, purchase return. Sales return, B/R, B/P, journal proper
•	Origin of transactions: source documents, preparation of cash and non-cash vouchers,
•	Cash Book: Simple, cash book with bank column, petty cash book,
",Lecture and  Demonstration,"Students will be able to undrstand and execute the recording of financila transaction in the subsidiary books of account- Cash Book, Purchase Book, Sales Book, Purchase Return Book Sales Return Book","Ch 2 : Hindu Undivided Family Business: Concept
  Cooperative Societies-Concept, types, merits, and
  limitations.","Explanation , Discussion, Reading",Understand the concept of HUF and Cooperative soc. Business,Unit 1 Entrepreneurship: Concept and Functions,Explanation and discussion,Process of Entrepreneurship ,SQL Queries,"Session: SELECT, INSERT, UPDATE, DELETE statements",Retrieve and manipulate data in databases.,,,
,2,Tenses- References,Explanation & Practice,-will be able to understand different types of Tenses - will use tense in day to day life to express views and thoughts effectively and fulfill language skills,,,,,,,To be continued from past week,Lecture and  Demonstration,"Students will be able to undrstand and execute the recording of financila transaction in the subsidiary books of account- Cash Book, Purchase Book, Sales Book, Purchase Return Book Sales Return Book","Ch 2 : Company - Concept, merits and limitations; Types:
  Private, Public and One Person Company –
  Concept
  Formation of company - stages, important
  documents to be used in the formation of a
  company","Explanation , Discussion, Reading",Understand the meaning and concept of company.,Unit 1 Entrepreneurship: Concept and Functions,Explanation and discussion,Entrepreneurship: The Indian Scenerio,SQL Queries,Fetching data from database using various condition ,Retrieve and manipulate data in databases.,,,
,3,Tenses - Indetification,Explanation & Practice,- will identify tenses and will be able to use tenses correctly,,,,,,,"Theory base of Accounting: •	Fundamental accounting assumptions,
•	Accounting principles,
•	Double entry system,
•	Basis of accounting- cash and accrual basis,
•	Accounting Standards: concept and objectives
IFRS (International Financial Reporting Standards)
",Lecture and  Demonstration,Students will be able to understand and develop the higher level of accounting aspects and their logical applications in accounting process,SUMMER VACATION,SUMMER VACATION,SUMMER VACATION,Summer Vacation,Summer Vacation,Summer Vacation,SQL Queries,Fetching data from database using various condition ,Retrieve and manipulate data in databases.,,,
