DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS XII-SCIENCE ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,PHYSICS ,,,CHEMISTRY ,,,MATHEMATICS,,,BIOLOGY ,,,INFORMATICS PRACTICES,,,PHYSICAL EDUCATION ,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes
"APRIL-2025
(21 DAYS)",1,The Last Lesson,EXPLANATION AND DISCUSSION ,"Understand the historical context of the Franco-Prussian War and its impact on Alsace-Lorraine.

Identify key characters—Franz, M. Hamel, villagers—and their roles in the narrative.

Explain the central conflict: the imposition of German language and the end of French lessons.

Analyze themes of language, identity, and cultural loss.",ch-1 electric charges and fields,explanation and  derivation,explain about electric charges and its cause,Ch-1 Solutions,Explanation and demonstration ,Differentiate between types of solutions based on the physical state of solute and solvent.,1. INVERSE TRIGONOMETRY,"COMMITMENT, OPEN MINDEDNESS",GRAPHICAL REPRESENTATION OF INVERSE TRIGONOMETRIC FUNCTIONS,Sexual reproduction in flowering plants ,"Explanation, Demonstration ",Students will understand the importance and develop/ connect the significance of this topic in the real world,Introduction to Python Libraries,Discussion on libraries like Pandas and Matplotlib,Understand purpose of libraries,,,
,2,"My Mother At Sixty Six,Notice",EXPLANATION AND DISCUSSION ,"Understand the central theme of aging, separation, and filial love as expressed by the poet.

Identify the use of imagery and tone (e.g. “drifting away,” “weakening”) to convey the speaker’s emotions.

Analyze how the poet’s choice of words and line breaks creates a mood of poignancy and vulnerability.

Recognize literary devices such as simile (“like a late winter’s moon”), personification, and enjambment.",ch-1 electric charges and fields,explanation and numerical practice,understand the concept of coulombs law and electical permittivity,Ch-1 Solution,Explanation and calculation ,"Use different units of concentration: mole fraction, molarity, & mass percent",1. INVERSE TRIGONOMETRY,"OPEN MINDEDNESS, SENSE OF HUMOUR",TO FIND THE DOMAIN AND RANGE OF ITF'S,Human reproduction ,Explanation,Students will understand the importance and develop/ connect the significance of this topic in the real world,Series in Pandas,Create Series from ndarray/dictionary,Create and manipulate Series,,,
,3,"Keeping Quiet, Lost Spring",EXPLANATION AND DISCUSSION ,"Organize information logically, using headings, subheadings, tables, and figures where necessary.""KEEPING QUITE Understand the poem’s central message: the value of silence and introspection for human unity.",ch-1 electric charges and fields,explanation and  derivation,explain about electric field and electric field intensity at different points,Ch-2 Electrochemistry,Explanation and discussion ,Uderstand the construction and working of an electrochemichal cell.,2. MATRIX,"INTEGRITY, AUTHENTICITY, HIGH ORDER THINKING",PERFORM DIFFERENT OPERATIONS ON MATRICES,Reproductive health ,Explanation,Students will understand the importance and develop/ connect the significance of this topic in the real world,Operations on Series,"Use head(), tail(), indexing, slicing",Apply operations on Series,,,
,4,"A Thing of Beauty,  Invitation & Reply",EXPLANATION AND DISCUSSION ,"Theme Exploration:Theme Exploration:
Students will identify and discuss key themes such as loneliness, fear, appearance versus reality, inner beauty, and the importance of positive thinking.",ch-2 electric potential and capictance,explanation and numerical practice,describe the concept of electric potential due to a point charge,Ch-2 Electrochemistry,Explanation and calculation ,"Define electrode potential, standard electrode potential & cell EMF",3. DETERMINANT,"INTEGRITY, SENSE OF HUMOUR",TO FIND THE INVERSE OF A MATRIX,Principle of inheritance and variation ,Explanation,Students will understand the importance and develop/ connect the significance of this topic in the real world,DataFrames: Introduction,Create DataFrames from dict and list,Understand structure of DataFrames,,,
,5,The Third Level,EXPLANATION AND DISCUSSION ,"Understand the basic plot: Galloway’s discovery of a mysterious “third level” at Grand Central Station and its significance.

Identify the elements of science fiction and fantasy in the narrative (time‐slip, alternate reality).

Analyze the character of Charley Galloway—his motivations, desires, and sense of alienation",ch-2 electric potential and capictance,explanation and  derivation,expail about electric diple moment,Ch-2 Electrochemistry,Explanation and demonstration ,Derive & apply the Nernst Equation to calculate cell potential under non standard conditions,3. DETERMINANT,"COMMITMENT, GROUTH MINDSET",TO SOLVE THE EQUATIONS HAVING 3 VARIABLES USING DETERMINANT,Principle of inheritance and variation,Explanation,Students will understand the importance and develop/ connect the significance of this topic in the real world,Operations on DataFrames,Add/delete/select/rename columns,Modify and manage DataFrames,,,
"MAY -2025 
(15 DAYS)",1,The Third Level,EXPLANATION AND DISCUSSION ,"Understand the basic plot: Galloway’s discovery of a mysterious “third level” at Grand Central Station and its significance.

Identify the elements of science fiction and fantasy in the narrative (time‐slip, alternate reality).

Analyze the character of Charley Galloway—his motivations, desires, and sense of alienation",ch-2 electric potential and capictance,explanation and numerical practice,understand the concept of capcitance and capcity to store the charge,Ch-2 Electrochemistry,Explanation and discussion ,Understand the arrangements of elements in the electrochemical series,4. CONTINUITY & DIFFERENTIABILITY,"COMMITMENT, AUTHENTICITY, SENSE OF HUMOUR",CHECK WHETHER THE FUNCTION IS CONTINUOUS OR NOT,Molecular basis of inheritance ,Explanation,Students will understand the importance and develop/ connect the significance of this topic in the real world,Indexing in DataFrames,Boolean indexing and label selection,Use indexing techniques,,,
,2,The Tiger King,EXPLANATION AND DISCUSSION ,"""Understand the plot and setting: the tiger hunt, the king’s obsession, and the socio-cultural backdrop.

Identify key characters— the Raja, his ministers, and the tigers—and their roles in driving the narrative.

",ch-3 current electricity,explanation and  derivation,able to explain about electric current and relation between current and drift velocity,Ch-3Chemical Kinetics,Explanation and calculation ,Define rate of a chemical reaction and differentiate between average rate & intstantaneous rate,4. DIFFERENTIATION,COMMITMENT',TO FIND THE DERIVATIVE OF A FUNCTION,Molecular basis of inheritance ,Explanation,Students will understand the importance and develop/ connect the significance of this topic in the real world,Import/Export CSV files,Read and write CSV using pandas,Exchange data with files,,,
,3,A Roadside Stand,EXPLANATION AND DISCUSSION ,"comprehend the theme of rural poverty, neglect, and the urban-rural divide. Identify and explain the use of imagery, irony, contrast, alliteration, and personification

",ch-3 current electricity,explanation and numerical practice,"understand the concept of ohm,s law and kirchoffs law",Ch-3Chemical Kinetics,Explanation and demonstration ,"Identify how concentratio, temprature, catalyst & surface area affect reaction rate.",5. APPLICATION OF DIFFERENTIABILITY,"OPEN MINDEDNESS, SENSE OF HUMOUR, HIGH ORDER THINKING",TO FIND THE SLOPE OF CURVE USING DERIIVATIVE,SUMMER VACATION ,,,Data Visualization: Introduction,Use line/bar/histogram,Create basic plots with matplotlib,,,
