DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS XII-COMMERCE ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,MATHEMATICS,,,ECONOMICS ,,,ACCOUNTANCY ,,,BUSINESS STUDIES,,,INFORMATICS PRACTICES,,,PHYSICAL EDUCATION ,,
BOOK & PUBLISHER NAME,,,,,,,,,,,,,,,,,,,,,,
MONTH ↓,WEEK,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes,"Chapter/
TOPIC NAME",Name of Activity,Learning Outcomes
"APRIL-2025
(21 DAYS)",1,The Last Lesson,EXPLANATION AND DISCUSSION ,"Understand the historical context of the Franco-Prussian War and its impact on Alsace-Lorraine.

Identify key characters—Franz, M. Hamel, villagers—and their roles in the narrative.

Explain the central conflict: the imposition of German language and the end of French lessons.

Analyze themes of language, identity, and cultural loss.",,,,Indian Economics Ch 2 Indian economy 1950-90,Explanation and discussion,"Agriculture, Industrial Sector reforms ",Ch 2 Change in Profit sharing ratio- Sac. ratio,Explanation and Numerical questions,Students are able to understand concept of sacrififing ratio and can calculate sacrificing ratio.,Ch 1Nature and Significance of management,Explanation and discussion,"Students are able to explain Importance of management, nature and significance and levels of management and most important about coordination",Introduction to Python Libraries,Discussion on libraries like Pandas and Matplotlib,Understand purpose of libraries,,,
,2,"My Mother At Sixty Six,Notice",EXPLANATION AND DISCUSSION ,"Understand the central theme of aging, separation, and filial love as expressed by the poet.

Identify the use of imagery and tone (e.g. “drifting away,” “weakening”) to convey the speaker’s emotions.

Analyze how the poet’s choice of words and line breaks creates a mood of poignancy and vulnerability.

Recognize literary devices such as simile (“like a late winter’s moon”), personification, and enjambment.",,,,Indian Economics Ch 2 Indian economy 1950-90,Explanation and discussion,"Foreign Exchange reforms, Critically Appraise","Goodwill , types and methods",Explanation and Numerical questions,Students are able to calculate sacrificing ratio.,Ch 1Nature and Significance of management,Explanation and discussion,"Importance of management, nature and significance and levels of management and most important about coordination",Series in Pandas,Create Series from ndarray/dictionary,Create and manipulate Series,,,
,3,"The Third Level,My Mother At Sixty Six",EXPLANATION AND DISCUSSION ,"Understand the basic plot: Galloway’s discovery of a mysterious “third level” at Grand Central Station and its significance.

Identify the elements of science fiction and fantasy in the narrative (time‐slip, alternate reality).

Analyze the character of Charley Galloway—his motivations, desires, and sense of alienation. MY MOTHER AT SIXTY SIX Understand the central theme of aging, separation, and filial love as portrayed by the poet.

Identify key images and metaphors (e.g. “like a late winter’s moon,” “weakening”).

Analyze how diction and line breaks create mood shifts—from calm observation to sudden anxiety.",,,,Indian Economics Ch NEP 1991 (LPG),Explanation and discussion,Liberation and Privatisation reforms 1991,"Treatment of WCR, IFR, Gen reserve, Profit and loss",Explanation and Numerical questions,Students are able to calculate sacrificing ratio.,Ch 2 Principles of managment,Explanation and discussion,"Various principles of fayol and his contribution and background, Scientific technique and method of Taylor and his contribution and background",Operations on Series,"Use head(), tail(), indexing, slicing",Apply operations on Series,,,
,4,The Lost Spring,EXPLANATION AND DISCUSSION ,"Comprehend the plot: Charley Galloway’s discovery of the mysterious Third Level at Grand Central Station.

Identify elements of science fiction and fantasy, such as time travel and alternate realities.

Analyze Charley’s character—his motivations, desires for escape, and emotional state.",,,,Indian Economics Ch NEP 1991 (LPG),Explanation and discussion,"Globalization, GST & Demonetisation","Revaluation A/c and partners capital
Revaluation A/c and partners capital- Single entry",Explanation and Numerical questions,Students are able to Revaluation A/c and partners capital,Ch 2 Principles of managment,Explanation and discussion,"Various principles of fayol and his contribution and background, Scientific technique and method of Taylor and his contribution and background",DataFrames: Introduction,Create DataFrames from dict and list,Understand structure of DataFrames,,,
,5,,EXPLANATION AND DISCUSSION ,,,,,Macreeconomics Ch Money ,Explanation and discussion,Money Functions and It's Evolution ,"Ch-3 Admission of a Partner- Introduction, accounting treatment and sacrificing ratio
  Treatment of goodwill, premium of goodwill and cases",Explanation and Numerical questions,"Understand the meaning of sacrificing ratio, gaining ratio and the change in profit sharing ratio among existing partners.
  • develop the understanding of accounting treatment of revaluation assets and reassessment of liabilities and treatment of reserves and accumulated profits by preparing revaluation account and balance sheet.",Ch 2 Principles of managment,Explanation and discussion,"Various principles of fayol and his contribution and background, Scientific technique and method of Taylor and his contribution and background",Operations on DataFrames,Add/delete/select/rename columns,Modify and manage DataFrames,,,
"MAY -2025 
(15 DAYS)",1,"Letter to the Editor,",EXPLANATION AND DISCUSSION ,"Understand the purpose of a letter to the editor: to express opinions, influence public view, or respond to published content.

Identify the typical structure: salutation, reference to the article, statement of opinion, supporting arguments, call to action, complimentary close.

Analyze sample letters to see how tone, style, and register suit a public readership.",,,,Macreeconomics Ch Money ,Explanation and discussion,Money Supply and Credit Creation ,"Ch-3 Admission of a Partner- accounting for revaluation of assets and reassessment of liabilities and treatment of reserves, WCR, IFR and accumulated profits..
  Preparation of revaluation account and balance sheet
  Numerical questions",Explanation and Numerical questions,• develop the understanding of accounting treatment of revaluation assets and reassessment of liabilities and treatment of reserves and accumulated profits by preparing revaluation account and balance sheet.,Ch 3 Business Environment,Explanation and discussion,Various dimentions of business environment and importance and limitation of various dimentions,Indexing in DataFrames,Boolean indexing and label selection,Use indexing techniques,,,
,2,The Tiger King,EXPLANATION AND DISCUSSION ,"Understand the plot and setting: the tiger hunt, the king’s obsession, and the socio-cultural backdrop.

Identify key characters— the Raja, his ministers, and the tigers—and their roles in driving the narrative.

Analyze the theme of power and ego: how the king’s pride shapes his decisions and fate.",,,,Macreeconomics Ch Banking ,Explanation and discussion,Functions of the Central Bank ,"Ch-3 Admission of a Partner- Hidden goodwill, Adjustment of capital and Numerical questions",Explanation and Numerical questions,• develop the understanding of accounting treatment of revaluation assets and reassessment of liabilities and balance sheet in case of adj. Of capital,Ch 4 :Planning,Explanation and discussion and project work,Plnaning and its importance and limitation and various steps in plnanning,Import/Export CSV files,Read and write CSV using pandas,Exchange data with files,,,
,3,Deep Water Report Writing Keeping Quiet,EXPLANATION AND DISCUSSION ,"Comprehend the narrative: Douglas’s childhood fear of water and how he overcomes it.

Identify key events and turning points that illustrate the development of his swimming ability.

Analyze the techniques (mental visualization, gradual exposure) Douglas uses to conquer fear. REPORT WRITING Understand the purpose and contexts for report writing (academic, scientific, business).

Identify the standard structure: title, introduction, background, methodology, findings, conclusions, and recommendations.

Apply formal, objective language and appropriate tone for reports.

Organize information logically, using headings, subheadings, tables, and figures where necessary.""KEEPING QUITE Understand the poem’s central message: the value of silence and introspection for human unity.

Identify poetic devices—repetition, enjambment, imperative voice—and their effects.

Analyze the tone and mood shifts as the poem moves from personal to collective address.""",,,,Macreeconomics Ch Banking ,Explanation and discussion,Measures to Control Money Supply ,"Ch-3 Admission of a Partner- Hidden goodwill, Adjustment of capital and Numerical questions",Explanation and Numerical questions,• develop the understanding of accounting treatment of revaluation assets and reassessment of liabilities and balance sheet in case of adj. Of capital,Ch 4 : Planning,"Explanation ,discussion and project work",Plnaning and its importance and limitation and various steps in plnanning,Data Visualization: Introduction,Use line/bar/histogram,Create basic plots with matplotlib,,,
